Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change
SUPPLIER A10,S021,A101,1.21,1.5,-0.29
SUPPLIER A3,S039,A350,1.67,1.92,-0.25
SUPPLIER A65,S078,A330,1.3,2.08,-0.78
SUPPLIER A15,S071,A341,1.87,1.24,0.63
SUPPLIER A53,S064,A363,1.24,1.31,-0.07
SUPPLIER E,S025,A362,2.18,1.48,0.7
SUPPLIER A62,S043,A372,2.89,1.27,1.62
SUPPLIER A61,S001,A397,1.21,3.16,-1.95
SUPPLIER A6,S042,A380,1.41,1.2,0.21
SUPPLIER A51,S021,A346,1.27,1.82,-0.55
SUPPLIER AC,S010,A380,1.56,1.87,-0.31
SUPPLIER A61,S066,A101,1.39,1.45,-0.06
STRONG ALLOY,S019,A400,3.14,1.28,1.86
SUPPLIER A49,S023,A363,1.26,3.16,-1.9
SUPPLIER A32,S010,A399,1.21,1.34,-0.13
STRONG ALLOY,S025,A390,1.62,1.34,0.28
TOP DIE CASTING,S082,A406,1.21,1.46,-0.25
SUPPLIER AD,S076,A341,1.58,1.28,0.3
TOP DIE CASTING,S049,A341,1.24,1.55,-0.31
SUPPLIER A5,S071,A352,1.21,1.31,-0.1
SUPPLIER A70,S063,A390,1.58,1.2,0.38
SUPPLIER G,S084,A374,1.63,3.16,-1.53
SUPPLIER H,S075,A380,1.97,1.27,0.7
SUPPLIER A55,S052,A345,3.14,1.39,1.75
SUPPLIER A22,S054,A372,1.37,1.42,-0.05
ABC Supplier,S019,A340,1.28,1.34,-0.06
SUPPLIER A70,S076,A381,2.43,1.24,1.19
SUPPLIER A3,S053,A363,1.63,1.2,0.43
SUPPLIER A20,S035,A330,1.21,1.31,-0.1
SUPPLIER A52,S073,A400,1.81,1.2,0.61
SUPPLIER A6,S013,A407,1.21,1.29,-0.08
SUPPLIER A32,S076,A392,1.5,1.2,0.3
SUPPLIER A48,S029,A341,1.6,1.24,0.36
SUPPLIER A37,S087,A395,1.47,1.23,0.24
SUPPLIER A3,S022,A378,1.21,1.57,-0.36
SUPPLIER A24,S058,A373,1.21,1.2,0.01
TOP DIE CASTING,S038,A351,2.88,2.22,0.66
SUPPLIER A23,S039,A345,1.45,1.45,0.0
SUPPLIER A27,S006,B747,1.62,1.24,0.38
