Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change
SUPPLIER A5,S081,A380,1.25,1.99,0.04
SUPPLIER A12,S057,A371,1.29,1.46,0.1
SUPPLIER A3,S066,A376,2.71,1.21,0.05
SUPPLIER A17,S061,A369,1.51,2.01,0.05
SUPPLIER A6,S025,A376,1.74,1.96,0.02
SUPPLIER A18,S022,A340,1.32,1.76,0.06
SUPPLIER A10,S054,A350,1.3,1.56,0.2
SUPPLIER A49,S001,A370,1.33,1.63,0.02
SUPPLIER D,S040,A379,1.21,1.46,0.01
SUPPLIER A38,S092,A401,1.72,2.09,0.04
SUPPLIER A3,S021,A341,1.42,1.36,0.2
SUPPLIER A62,S030,A383,1.33,1.6,0.01
SUPPLIER A6,S053,A345,1.5,1.76,0.04
BLUE METAL,S008,A400,2.11,1.32,0.2
SUPPLIER A22,S011,A101,1.25,1.2,0.13
SUPPLIER E,S022,A395,1.21,1.37,0.2
SUPPLIER A4,S052,A378,3.14,1.38,0.02
SUPPLIER A6,S003,A386,1.21,1.51,0.2
SUPPLIER A2,S014,A381,3.11,1.46,0.2
SUPPLIER A62,S051,A394,1.21,3.16,0.04
SUPPLIER A22,S059,A410,1.62,1.27,0.02
SUPPLIER A33,S044,A364,1.21,1.4,0.05
ALOY MASTERS,S093,A345,1.61,1.31,0.06
SUPPLIER A23,S041,A343,2.93,1.2,0.01
SUPPLIER D,S083,A412,1.21,1.43,0.11
SUPPLIER A61,S050,A365,1.21,1.28,-0.0
SUPPLIER F,S006,A343,1.57,1.31,0.2
SUPPLIER A31,S069,A344,1.4,2.0,0.04
SUPPLIER A38,S059,A347,1.24,1.43,0.05
STRONG ALLOY,S044,A372,1.21,1.2,0.02
SUPPLIER H,S053,A330,1.41,1.45,0.01
SUPPLIER C,S013,A379,1.5,1.25,0.06
SUPPLIER A48,S038,A400,1.21,1.38,0.2
SUPPLIER A63,S063,A391,2.24,1.35,0.0
TOP DIE CASTING,S057,A340,1.21,1.2,0.05
SUPPLIER A6,S008,A379,1.21,1.7,0.02
BLUE METAL,S018,A378,2.93,1.71,0.06
SUPPLIER A37,S024,B747,1.3,1.2,0.01
ALOY MASTERS,S048,A352,1.39,2.41,0.2
SUPPLIER A30,S068,A405,1.78,1.43,0.05
SUPPLIER A59,S093,A376,1.21,2.61,0.04
SUPPLIER A52,S090,A378,1.28,1.2,0.06
SUPPLIER A66,S030,A367,1.4,1.57,0.0
SUPPLIER A44,S014,A395,1.44,1.48,0.01
TOP DIE CASTING,S074,A352,2.01,1.28,0.06
SUPPLIER A31,S090,A400,2.88,1.54,0.12
SUPPLIER A38,S059,A400,1.98,1.28,0.11
SUPPLIER A46,S079,A400,3.14,1.26,0.14
SUPPLIER E,S010,A376,1.3,1.92,0.2
SUPPLIER A7,S070,A379,1.51,2.18,0.04
SUPPLIER A57,S026,A400,1.66,1.76,0.01
SUPPLIER A62,S050,A369,1.3,1.27,0.03
BLUE METAL,S040,A383,1.23,3.16,-0.0
SUPPLIER A73,S058,A372,1.21,1.6,0.01
ABC Supplier,S018,A349,1.5,1.61,0.04
SUPPLIER A46,S064,A400,1.21,2.01,0.05
SUPPLIER AA,S075,A340,1.7,1.32,-0.02
SUPPLIER A23,S077,A379,1.34,1.92,0.06
SUPPLIER A59,S073,A345,1.22,2.03,0.03
TOP DIE CASTING,S043,A398,1.78,1.95,0.05
SUPPLIER A36,S032,A374,1.63,1.32,0.04
SUPPLIER A60,S046,A374,1.57,1.33,0.03
SUPPLIER G,S088,A372,1.41,1.22,0.2
SUPPLIER A2,S001,A414,1.21,1.72,0.01
XYZ,S002,A402,1.27,1.42,0.05
SUPPLIER A7,S051,A380,1.27,2.29,0.03
SUPPLIER A61,S018,A383,1.51,1.99,0.04
SUPPLIER A41,S032,A376,1.61,1.44,0.05
TOP DIE CASTING,S011,A357,1.55,1.43,0.2
SUPPLIER A64,S078,A360,1.45,1.43,0.0
SUPPLIER B,S085,A363,1.33,1.4,0.02
SUPPLIER F,S080,A360,1.4,1.26,0.07
SUPPLIER A50,S032,A388,1.7,1.49,0.05
SUPPLIER E,S019,A396,1.58,1.57,0.03
SUPPLIER A64,S009,A340,1.21,1.4,-0.02
SUPPLIER A27,S054,A399,1.63,1.44,0.15
SUPPLIER A31,S049,A391,1.21,1.69,0.07
SUPPLIER F,S069,A375,1.74,1.33,0.02
SUPPLIER A63,S027,A400,1.5,1.59,0.04
SUPPLIER A29,S085,A363,1.21,1.52,0.03
SUPPLIER A33,S008,A409,1.46,1.37,0.04
SUPPLIER A29,S039,A330,1.44,1.59,0.03
ABC Supplier,S082,A410,1.21,1.61,0.2
SUPPLIER A58,S082,A348,1.39,1.57,0.2
SUPPLIER A72,S087,A342,2.17,1.3,-0.02
SUPPLIER G,S027,A409,1.26,1.27,0.2
SUPPLIER A21,S023,A404,1.29,1.49,0.02
SUPPLIER A26,S053,A376,1.33,1.33,0.03
SUPPLIER A48,S001,A366,1.41,1.55,0.01
SUPPLIER A6,S001,A372,1.48,1.38,0.2
SUPPLIER A61,S057,A376,1.41,1.54,0.01
SUPPLIER A67,S041,A343,1.29,1.53,-0.01
STRONG ALLOY,S069,A357,1.5,3.07,-0.03
SUPPLIER E,S080,A345,1.79,1.51,0.03
SUPPLIER AC,S032,A385,2.19,1.27,0.02
SUPPLIER A26,S007,A403,1.3,1.47,-0.01
SUPPLIER A55,S082,A409,1.75,1.36,0.07
TOP DIE CASTING,S063,A369,1.21,1.29,0.12
SUPPLIER A43,S029,A345,1.21,1.38,0.01
SUPPLIER A10,S044,A342,1.43,3.16,0.2
