session_id,user_id,device,os,minutes
118,100,tablet,ios,10
119,100,tablet,ios,15
120,102,tablet,ios,34
121,103,tablet,android,9
122,103,tablet,android,9
123,104,mobile,ios,17
124,105,mobile,android,15
125,105,mobile,android,10
126,107,mobile,ios,34
127,108,mobile,android,15
128,110,tablet,ios,28
129,110,mobile,ios,34
130,111,tablet,ios,11
131,111,tablet,ios,28
132,112,mobile,ios,25
133,113,mobile,android,23
134,113,mobile,ios,34
135,113,mobile,ios,34
136,115,mobile,ios,7
137,117,tablet,ios,29
138,118,tablet,ios,22
139,118,tablet,ios,31
140,121,tablet,android,19
141,121,tablet,ios,18
142,122,tablet,ios,19
143,123,mobile,ios,21
144,123,tablet,ios,16
145,126,mobile,ios,13
146,126,tablet,ios,14
147,127,mobile,ios,16
148,127,mobile,ios,7
149,128,tablet,ios,32
150,128,tablet,android,34
151,129,tablet,android,15
152,129,tablet,android,22
153,130,tablet,ios,28
154,131,mobile,ios,7
155,132,mobile,android,16
156,134,tablet,ios,34
157,137,mobile,android,31
158,139,mobile,android,30
159,140,tablet,ios,11
160,142,mobile,ios,27
161,143,mobile,android,27
162,143,mobile,android,33
163,143,mobile,android,32
164,144,mobile,android,26
165,145,mobile,ios,7
166,145,mobile,ios,7
167,146,mobile,android,22
168,148,tablet,ios,20
169,151,tablet,ios,22
170,152,tablet,ios,16
171,152,mobile,ios,25
172,155,mobile,ios,34
173,156,tablet,ios,15
174,156,tablet,ios,34
175,157,tablet,ios,25
176,158,mobile,ios,34
177,159,tablet,ios,28
178,161,tablet,android,27
179,164,tablet,ios,17
180,165,mobile,android,9
181,166,mobile,ios,16
182,167,tablet,ios,34
183,168,mobile,android,7
184,168,mobile,android,13
185,168,mobile,android,9
186,169,mobile,android,20
187,170,mobile,android,22
188,170,mobile,android,19
189,171,mobile,android,34
190,171,mobile,android,34
191,173,mobile,ios,28
192,174,mobile,ios,7
193,174,mobile,android,9
194,175,mobile,android,27
195,175,mobile,android,34
196,176,mobile,ios,10
197,176,mobile,ios,7
198,179,mobile,android,34
199,181,mobile,android,13
200,181,tablet,ios,12
201,182,mobile,ios,27
202,182,tablet,ios,22
203,183,tablet,android,30
204,183,tablet,android,21
205,183,mobile,android,22
206,186,mobile,ios,12
207,189,mobile,android,12
208,189,mobile,ios,12
209,189,mobile,android,7
210,190,mobile,android,11
211,191,tablet,android,11
212,192,mobile,android,20
213,193,tablet,ios,31
214,194,tablet,android,26
215,195,tablet,android,25
216,196,mobile,android,23
217,198,tablet,ios,34
218,198,tablet,ios,23
219,199,tablet,ios,28
220,199,tablet,ios,27
221,200,mobile,ios,7
222,200,mobile,ios,13
223,201,mobile,android,7
224,202,mobile,ios,19
225,203,tablet,ios,10
226,203,mobile,ios,14
227,204,tablet,android,15
228,207,tablet,ios,13
229,207,tablet,android,20
230,209,mobile,android,14
231,210,mobile,ios,7
232,211,tablet,ios,21
233,211,tablet,ios,30
234,211,mobile,ios,20
235,214,mobile,android,20
236,216,mobile,android,15
237,217,mobile,ios,14
238,217,mobile,ios,8
239,219,mobile,android,20
240,220,mobile,android,22
241,221,mobile,android,7
242,221,mobile,android,12
243,223,mobile,android,18
244,228,tablet,android,31
245,230,mobile,android,32
246,230,mobile,android,25
247,231,mobile,ios,12
248,232,tablet,ios,27
249,232,tablet,android,11
250,232,tablet,ios,20
251,236,mobile,android,26
252,236,tablet,ios,13
253,237,tablet,ios,13
254,238,tablet,ios,7
255,238,mobile,android,10
256,241,tablet,android,10
257,241,tablet,ios,12
258,241,tablet,android,7
259,243,tablet,ios,9
260,243,tablet,android,8
261,244,tablet,ios,30
262,246,mobile,ios,16
263,247,mobile,android,15
264,248,tablet,android,13
265,249,mobile,ios,8
266,249,mobile,ios,13
267,250,tablet,ios,29
268,251,mobile,android,33
269,251,tablet,ios,27
270,252,tablet,android,17
271,252,tablet,android,30
272,255,tablet,ios,29
273,256,tablet,ios,14
274,257,tablet,ios,15
275,257,mobile,android,16
276,258,mobile,ios,7
277,259,tablet,ios,24
278,259,tablet,ios,7
279,261,mobile,android,8
280,262,mobile,android,21
281,263,mobile,ios,24
282,264,mobile,ios,7
283,265,mobile,android,24
284,265,mobile,ios,19
285,266,mobile,ios,9
286,267,mobile,android,7
287,268,mobile,ios,27
288,268,tablet,ios,25
289,269,mobile,ios,22
290,270,mobile,ios,12
291,271,mobile,ios,25
292,271,tablet,android,34
293,272,mobile,android,7
294,272,mobile,android,18
295,274,tablet,ios,21
296,275,mobile,ios,24
297,276,mobile,android,33
298,277,mobile,android,22
299,279,mobile,android,27
300,281,mobile,android,29
301,281,mobile,android,16
302,286,tablet,android,11
303,287,mobile,android,19
304,287,mobile,android,16
305,290,mobile,ios,13
306,290,tablet,ios,23
307,290,mobile,ios,16
308,291,mobile,android,19
309,293,tablet,android,11
310,295,mobile,android,11
311,296,mobile,ios,9
312,296,mobile,ios,22
313,297,mobile,ios,34
314,297,tablet,android,33
315,298,mobile,android,16
316,298,tablet,android,34
317,298,mobile,android,20
318,300,mobile,ios,17
319,300,tablet,android,18
320,300,mobile,ios,15
321,302,tablet,android,23
322,303,tablet,ios,19
323,305,tablet,ios,30
324,305,tablet,ios,22
325,307,mobile,android,22
326,308,mobile,android,7
327,308,mobile,ios,10
328,310,mobile,ios,34
329,311,tablet,android,29
330,312,mobile,ios,22
331,313,tablet,android,17
332,313,tablet,ios,15
333,313,tablet,android,10
334,314,tablet,android,7
335,314,mobile,android,7
336,316,tablet,ios,33
337,317,tablet,ios,25
338,317,mobile,ios,20
339,318,mobile,ios,22
340,319,mobile,android,19
341,320,tablet,ios,26
342,321,tablet,android,7
343,322,mobile,android,18
344,322,mobile,android,17
345,323,mobile,ios,10
346,323,tablet,ios,10
347,324,tablet,android,28
348,325,mobile,ios,9
349,325,mobile,ios,15
350,326,tablet,ios,30
351,328,mobile,ios,14
352,328,mobile,ios,15
353,329,tablet,ios,17
354,329,tablet,ios,21
355,329,tablet,ios,32
356,330,tablet,ios,18
357,330,mobile,ios,17
358,331,tablet,ios,34
359,332,tablet,android,20
360,332,tablet,ios,17
361,333,mobile,android,26
362,335,mobile,ios,24
363,336,mobile,ios,17
364,338,mobile,ios,29
365,339,mobile,android,13
366,340,mobile,android,14
367,341,mobile,android,9
368,342,tablet,android,29
369,343,tablet,ios,34
370,343,tablet,android,30
371,349,tablet,ios,26
372,349,tablet,ios,16
373,349,tablet,ios,20
374,350,mobile,android,8
375,351,mobile,android,20
376,352,mobile,android,12
377,353,mobile,ios,19
378,353,tablet,ios,24
379,354,mobile,android,18
380,355,mobile,android,13
381,356,tablet,ios,13
382,356,mobile,ios,7
383,359,tablet,ios,34
384,360,tablet,ios,33
385,361,mobile,ios,25
386,362,mobile,android,17
387,364,mobile,ios,10
388,365,mobile,ios,23
389,366,mobile,android,13
390,366,tablet,android,18
391,368,mobile,ios,9
392,369,mobile,android,7
393,370,tablet,ios,10
394,370,tablet,ios,7
395,372,tablet,ios,27
396,372,tablet,android,26
397,372,tablet,android,24
398,374,mobile,android,34
399,374,mobile,android,18
400,375,mobile,ios,32
401,377,mobile,ios,27
402,377,mobile,ios,8
403,380,mobile,android,21
404,381,mobile,ios,11
405,381,tablet,ios,11
406,382,mobile,android,22
407,383,mobile,android,29
408,383,mobile,ios,34
409,384,mobile,android,10
410,385,mobile,android,10
411,385,mobile,android,7
412,388,tablet,ios,20
413,388,tablet,ios,19
414,389,mobile,android,23
415,392,mobile,android,7
416,392,mobile,android,18
417,395,mobile,ios,7
418,398,tablet,android,34
419,398,mobile,android,31
420,398,tablet,android,29
421,399,tablet,ios,30
422,399,tablet,ios,27
423,401,mobile,ios,21
424,402,tablet,ios,25
