Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change
SUPPLIER A38,S032,A402,1.8143756157334614,1.268730222510173,0.05
SUPPLIER A59,S049,A341,2.985993586690332,1.4349253631948828,0.07
TOP DIE CASTING,S009,A400,1.371375979927596,1.3708872602456246,0.04
TOP DIE CASTING,S026,A396,1.907161190791834,1.5885310843209735,0.04
SUPPLIER A34,S014,B747,1.809465622781498,1.572164168705015,0.06
SUPPLIER A63,S093,A364,3.14,1.620864904522724,0.0
SUPPLIER A17,S044,A374,3.14,1.403192736864386,0.02
SUPPLIER A73,S029,A330,1.8776641668493992,1.3219091893258577,0.2
BLUE METAL,S087,A346,1.5767724295793106,1.548447157246672,0.05
SUPPLIER A31,S044,A340,1.8374070496576498,1.5550318394105427,0.04
SUPPLIER AD,S027,A393,2.198458869210459,1.2493249188892233,0.01
SUPPLIER A51,S011,A380,1.556528558642681,2.069487829135262,0.07
SUPPLIER A28,S055,A359,1.3686172635003666,1.5405720884748886,0.05
SUPPLIER G,S044,A330,2.2376594857326166,1.2942799926628972,0.01
SUPPLIER A25,S048,A320,2.418443299932612,1.4187756538396368,0.08
SUPPLIER A9,S074,A390,2.786719932059177,1.5062926626481508,0.05
SUPPLIER A50,S064,A320,1.6376801807459653,3.16,0.04
SUPPLIER AC,S035,A365,2.825279099267879,1.471963535603539,0.05
SUPPLIER C,S024,A412,1.3355555349825656,1.603086657632642,0.05
SUPPLIER A19,S039,A372,3.14,1.2722095655266452,0.04
SUPPLIER A9,S080,A400,2.773795216160196,1.7843464019110713,0.03
SUPPLIER A4,S014,A101,1.3554496405477245,1.2,0.03
SUPPLIER A1,S061,A396,1.2789294426451705,1.7372718623016592,0.01
TOP DIE CASTING,S079,A378,3.14,1.49936403340467,0.04
SUPPLIER A64,S037,A350,1.7473854420084576,1.2724000676424871,-0.01
SUPPLIER A63,S061,A400,1.6287919989566424,1.4699218920581665,0.06
SUPPLIER AD,S047,A378,1.2754975860924092,1.3435631118450369,0.04
SUPPLIER A18,S079,A344,1.5400020192735693,1.4247183427199592,0.07
SUPPLIER F,S039,A352,1.2901445796623554,1.2659910864401798,0.02
SUPPLIER A68,S082,A388,1.305606862493644,2.6721415343279245,0.03
SUPPLIER A31,S051,A394,1.8286596297675985,1.2477429997384155,-0.01
SUPPLIER A66,S043,A340,3.14,1.2,0.07
SUPPLIER A41,S032,A365,1.4099760863444188,1.6204406906884934,0.04
ABC Supplier,S064,A385,1.589758938130279,1.5115988561072273,0.05
SUPPLIER C,S076,A393,1.6380197859449914,1.5330039367638297,0.06
SUPPLIER A6,S051,A354,2.066211028803136,1.3778548171353555,0.07
SUPPLIER H,S072,A341,3.14,1.4124480501568502,0.06
SUPPLIER A39,S008,A374,1.733683635473917,1.2,0.03
SUPPLIER A37,S001,A383,2.2680029713508962,1.4730077360096907,0.01
SUPPLIER A41,S037,A371,2.0615717698735283,1.395268405245304,0.2
SUPPLIER AB,S017,A346,2.070053025627043,1.6923034305574676,0.03
SUPPLIER A25,S013,A342,1.7594392501633436,1.528069793584261,0.03
SUPPLIER A73,S052,A403,1.5480401937817327,1.3966183571509576,0.02
SUPPLIER A25,S010,A394,3.14,1.5497019586779823,0.06
SUPPLIER A70,S006,A400,3.14,1.6328481143858378,0.04
SUPPLIER AB,S010,A340,1.7121328911849112,1.4534473356921283,0.07
SUPPLIER A31,S054,A376,1.3525751117876221,1.363671329595944,0.2
SUPPLIER A54,S006,A375,1.5621612438872563,1.6973323344356719,0.04
SUPPLIER A28,S090,A401,1.902655484340813,1.431125413737666,0.04
SUPPLIER A1,S009,A392,2.1218982966767856,1.3135605650167164,0.05
SUPPLIER A64,S021,A407,1.5533229094320808,1.2405867026942654,0.07
SUPPLIER A21,S035,A388,2.133301244171345,1.4884083845199143,0.07
SUPPLIER A7,S084,A350,2.0429974658485652,1.5367309786573167,0.2
SUPPLIER A64,S053,A376,3.14,1.4840805179071141,0.03
TOP DIE CASTING,S030,A371,3.14,1.35894898633417,0.05
SUPPLIER A5,S037,A386,3.14,1.4519647138359635,0.07
SUPPLIER A63,S027,A400,3.14,2.205112290909761,0.03
SUPPLIER A51,S061,A400,1.5883735137196608,1.584891641926275,0.08
SUPPLIER AA,S077,A347,3.14,1.2642768794292685,0.04
SUPPLIER A8,S003,A354,2.3460381672809776,1.4944585360887677,0.05
SUPPLIER A61,S064,A343,2.475151324021565,1.2,0.04
SUPPLIER AD,S029,A101,1.5108458187095672,1.4429275543460258,0.06
SUPPLIER AB,S017,A404,1.5868306702377428,1.6214990071359168,0.01
SUPPLIER A2,S087,A348,1.540376595539597,1.2,0.03
SUPPLIER A70,S066,A408,1.9820598380036654,1.5726895079324574,0.0
SUPPLIER A61,S079,A402,3.0153391785361494,1.4712134453931809,0.02
TOP DIE CASTING,S078,A371,1.632498152608239,1.269091338114751,0.03
SUPPLIER C,S038,A374,1.737419917411784,1.2686916119830625,0.14
