Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change
SUPPLIER A49,S081,A395,1.38,1.49,-0.02
SUPPLIER A33,S001,A400,1.21,1.2,-0.0
SUPPLIER A52,S010,A320,1.61,1.38,-0.03
SUPPLIER A25,S090,A391,1.21,2.09,-0.0
SUPPLIER A22,S059,A385,1.24,1.52,0.01
SUPPLIER A9,S021,A361,1.47,1.45,0.01
SUPPLIER A57,S082,A379,1.45,1.89,-0.03
SUPPLIER A66,S015,A350,1.81,2.37,0.01
SUPPLIER AA,S069,A320,1.47,1.85,-0.03
SUPPLIER A38,S027,A399,1.26,1.51,-0.01
SUPPLIER A32,S001,A410,1.44,1.58,-0.0
SUPPLIER A51,S082,A343,1.95,1.62,0.01
SUPPLIER A34,S082,A408,2.12,1.52,-0.02
SUPPLIER A27,S022,A392,3.14,2.0,-0.02
SUPPLIER A30,S054,A373,1.21,2.48,0.12
SUPPLIER A54,S045,A330,1.47,2.2,-0.03
SUPPLIER A62,S027,A400,1.37,1.39,-0.01
SUPPLIER A17,S010,A370,1.97,1.71,-0.0
SUPPLIER A35,S068,A352,1.21,1.51,-0.0
SUPPLIER A67,S044,A369,1.24,1.36,-0.0
SUPPLIER A10,S007,A397,1.4,2.18,-0.01
SUPPLIER A51,S093,A394,1.21,1.7,0.05
SUPPLIER F,S042,A372,1.28,1.71,-0.03
SUPPLIER A9,S093,A380,1.27,1.54,-0.03
SUPPLIER D,S028,A393,1.3,1.75,0.01
SUPPLIER A30,S063,A101,1.21,1.77,0.01
SUPPLIER A22,S068,A366,1.21,1.76,-0.02
SUPPLIER A20,S006,A351,1.21,2.12,0.0
SUPPLIER A52,S021,A340,1.4,1.47,-0.01
SUPPLIER A4,S090,A341,1.26,1.48,0.04
SUPPLIER A28,S052,A404,1.98,1.51,0.02
SUPPLIER AC,S022,A383,1.21,1.91,0.05
ALOY MASTERS,S069,A400,1.21,2.08,0.01
SUPPLIER A33,S040,A345,1.76,1.47,-0.03
SUPPLIER H,S018,A357,1.56,2.27,-0.0
TOP DIE CASTING,S068,A404,1.67,1.71,-0.03
SUPPLIER A35,S016,A393,1.21,1.51,-0.01
SUPPLIER A10,S074,A347,1.21,2.11,0.02
SUPPLIER A56,S038,A357,1.92,1.45,-0.03
SUPPLIER A5,S073,A404,1.58,1.48,0.13
SUPPLIER E,S056,A402,1.46,1.54,-0.01
SUPPLIER A33,S047,A101,1.53,1.57,-0.01
SUPPLIER A49,S012,A341,1.21,2.03,-0.03
SUPPLIER A26,S019,A359,2.46,1.75,-0.01
SUPPLIER A12,S029,A409,1.57,1.95,0.03
SUPPLIER A19,S081,A342,1.23,1.3,0.03
SUPPLIER A6,S093,A330,1.21,1.84,-0.02
SUPPLIER A70,S039,A348,1.34,1.48,-0.03
SUPPLIER A31,S069,A363,1.21,1.65,0.01
SUPPLIER A51,S076,A379,1.21,1.61,-0.01
SUPPLIER A31,S084,A376,1.21,1.59,0.02
SUPPLIER A9,S071,A405,1.21,2.24,0.02
ALOY MASTERS,S024,A403,1.21,1.51,-0.03
SUPPLIER A2,S043,A400,1.21,1.2,-0.01
TOP DIE CASTING,S048,A377,1.22,2.19,-0.01
SUPPLIER A34,S017,A380,2.28,1.78,0.03
SUPPLIER A22,S079,A392,1.23,1.99,0.02
SUPPLIER A59,S026,A340,1.42,1.75,-0.0
SUPPLIER A30,S021,A400,1.42,1.5,-0.03
ALOY MASTERS,S008,A365,1.39,1.85,-0.03
TOP DIE CASTING,S022,A372,2.27,1.97,0.04
SUPPLIER A54,S037,A390,1.38,1.74,0.03
SUPPLIER A37,S007,A397,1.3,1.39,0.0
SUPPLIER A64,S075,A394,1.34,1.23,0.03
SUPPLIER A43,S014,A352,1.98,1.73,-0.01
SUPPLIER A53,S051,A368,1.68,1.9,-0.03
TOP DIE CASTING,S074,A357,2.08,2.77,0.0
SUPPLIER A72,S020,A397,1.49,1.48,-0.01
SUPPLIER A36,S027,A360,3.14,1.62,-0.02
SUPPLIER A33,S052,A380,1.41,1.63,-0.01
SUPPLIER A65,S003,A346,1.21,1.45,-0.03
ALOY MASTERS,S020,A344,1.31,1.68,-0.02
SUPPLIER A24,S081,A410,1.3,1.58,-0.01
XPZ Supp,S056,A400,1.51,1.54,0.0
SUPPLIER A63,S075,A403,2.65,2.03,-0.02
SUPPLIER AD,S069,A101,1.21,1.94,0.01
TOP DIE CASTING,S035,A380,2.6,1.75,-0.02
SUPPLIER A49,S046,A357,1.7,1.38,-0.03
SUPPLIER A50,S032,A396,1.62,1.96,-0.03
XYZ,S032,A357,1.42,1.36,0.02
SUPPLIER A43,S084,A345,1.59,1.74,0.04
SUPPLIER A22,S073,A379,1.21,1.2,-0.0
SUPPLIER A55,S042,A386,1.26,1.82,0.02
BLUE METAL,S088,A410,1.28,1.95,0.05
SUPPLIER A33,S074,A395,1.27,1.74,0.01
SUPPLIER A19,S022,A374,1.4,1.31,-0.0
SUPPLIER A15,S022,A369,1.46,1.47,0.16
TOP DIE CASTING,S049,A400,1.21,2.14,-0.03
SUPPLIER A44,S024,A400,1.63,1.57,-0.01
SUPPLIER A12,S022,A340,1.62,1.74,0.0
SUPPLIER A4,S022,A400,1.21,1.45,0.02
SUPPLIER A38,S022,A359,1.44,1.43,-0.03
SUPPLIER A64,S017,A359,1.35,1.75,-0.01
SUPPLIER A67,S038,A341,1.21,1.61,-0.03
SUPPLIER A50,S009,A378,1.21,1.81,-0.01
SUPPLIER A1,S035,A381,1.27,1.53,0.03
SUPPLIER A27,S092,A377,1.21,1.92,0.02
SUPPLIER C,S039,A406,1.21,3.16,-0.02
SUPPLIER G,S083,A394,1.47,1.42,-0.01
SUPPLIER A12,S030,A385,1.47,1.4,0.01
