Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20
19-07-2008 14.43,2947.48,2519.64,2218.5039,877.6266,1.5509,100,95.4878,0.125,1.5274,-0.03313654254274455,0.0216,0.9486876416679768,203.5218,0,13.6872,420.5061,9.438917732441253,0.9682,189.5012847847271,12.4294,1.3825
19-07-2008 11.55,2968.3,2428.37,2267.297,877.6266,1.5509,100,95.4878,0.1257,1.5816,0.013240207042162413,-0.0027,0.9526248688120669,203.2428,0,7.9558,421.625,9.342255098966481,0.9539,186.94457273212493,12.2675,1.4278
21-07-2008 11.53,3095.78,2428.37,2184.4333,1520.0921,1.2601,100,103.7234,0.124,1.5816,0.011669098968657202,0.0124,0.9490524266178437,206.1804,0,7.9558,423.6104,9.432462248065384,0.9689,215.5977,10.7029,1.4093
22-07-2008 11.47,3021.27,2615.18,2184.4333,1020.2914,1.0365,100,103.6149,0.1228,1.5442,0.015540614634329222,-0.0071,0.9433,202.8294,0,10.7207,411.9266,9.1999,0.9681,186.39508701913445,12.2569,1.4099
19-07-2008 17.53,3095.78,2470.56,2209.5336,999.8659,1.3265,100,104.7458,0.1257,1.4846,-0.0367,-0.0069,0.9456160292055182,197.3809,0,8.016,422.6623,9.599912904010218,0.9654,183.3869,12.5475,1.4252
19-07-2008 17.53,3095.78,2428.37,2216.4159,924.3865,0.7884,100,100.1799,0.1194,1.5317,-0.029736733540125324,0.0152,0.9478939366217513,202.4285,0,10.0187,421.3723,9.250023776131359,0.9705,190.24757411128616,12.3474,1.418
22-07-2008 2.59,3061.82,2447.61,2197.811,877.6266,1.5509,100,105.4379,0.1251,1.5406,-0.006556701342161323,0.0143,0.9541867237855888,200.2579,0,13.6872,421.7633,9.703575922250916,0.9621,192.30214366130932,12.5336,1.4026
19-07-2008 17.53,3001.95,2439.89,2184.4333,1698.0172,1.0934,100,103.8787,0.1257,1.5476,0.020001571531826585,-0.0023,0.9653734694561138,223.4785,0,8.6862,407.9631,9.1999,0.9667,183.3869,12.5224,1.4126
19-07-2008 21.57,3095.78,2429.53,2184.4333,884.6433,1.0717,100,96.478,0.1214,1.5631,-0.030718505113050715,0.0196,0.9596112300225494,198.4874,0,8.1571,428.9826,9.492356029875664,0.9652,183.3869,12.5635,1.413
19-07-2008 15.22,3095.73,2679.23,2245.5701,877.6266,1.5509,100,107.1159,0.122,1.5696,-0.011095603453792258,-0.0079,0.957827775906296,219.0745,0,9.0041,416.6089,9.687482344989691,0.9711,189.87488817392594,12.5458,1.4082
19-07-2008 17.53,3095.78,2428.37,2184.4333,1041.5462,1.5509,100,100.3495,0.1209,1.5816,0.01999756284797042,-0.0053,0.9433,210.4801,0,10.8026,427.7016,9.446712723675807,0.9656,193.1927594259865,12.5635,1.3825
19-07-2008 17.53,3095.78,2496.99,2186.6199,1381.284,1.4049,100,103.1209,0.1257,1.5258,-0.036219329752116614,-0.0051,0.9679444987487447,201.0768,0,9.845,425.89,9.968820999457996,0.964,183.3869,12.4262,1.3988
22-07-2008 2.59,3095.78,2428.37,2184.4333,1509.3327,1.0226,100,96.965,0.1257,1.4847,0.025,-0.0071,0.9555279559692601,192.9787,0,8.212,416.5344,9.1999,0.9642,215.5977,12.2643,1.3897
19-07-2008 21.57,3095.78,2428.37,2216.8097,1075.0155,1.4182,100,98.6665,0.1257,1.5403,0.002708266105738027,0.0029,0.9524478837521616,198.2894,0,9.6353,426.2294,9.619392448939918,0.9659,185.69834273491335,12.3594,1.4038
19-07-2008 13.17,3095.78,2428.37,2184.4333,1145.8886,1.3391,100,102.6843,0.1236,1.5574,0.006423619167382916,0.0037,0.9500499510879618,226.0086,0,11.4938,416.1327,10.4109,0.9653,183.3869,12.5635,1.3889
19-07-2008 21.57,3095.78,2428.37,2184.4333,1224.0633,1.2896,100,95.4878,0.1257,1.5127,-0.03253681789652892,0.011,0.9511975058236474,197.9599,0,8.9691,414.0514,9.413467478840325,0.9671,206.05375104680243,12.5635,1.3969
22-07-2008 2.59,3095.78,2460.38,2184.4333,915.737,1.5164,100,96.8927,0.1257,1.5816,0.0031902886459437025,-0.0112,0.9647775488543999,198.0943,0,7.9558,404.5667,9.1999,0.9688,201.08823810102984,12.5635,1.4009
19-07-2008 22.52,3095.78,2428.37,2230.9263,1348.5029,1.4227,100,107.7847,0.1257,1.5447,-0.0009100945204568462,-0.0134,0.9584947547715162,197.443,0,7.9558,413.0248,9.1999,0.9686,183.3869,12.3441,1.396
19-07-2008 17.53,3021.57,2428.37,2201.9498,1092.3119,1.3968,100,95.9674,0.124,1.5128,0.0006441909710240175,-0.0018,0.9433,215.4466,0,10.3729,426.6406,9.693918290089277,0.9658,191.88304256883035,12.5635,1.4106
19-07-2008 13.17,2995.14,2428.37,2184.4333,1698.0172,1.1147,100,103.2908,0.1185,1.581,0.025,-0.0179,0.955233931918695,199.3693,0,9.9351,422.5796,9.664168016267919,0.9713,185.15482164918498,12.5202,1.4222
22-07-2008 8.41,2971.53,2428.37,2184.4333,877.6266,1.213,100,103.531,0.1191,1.5011,-0.01208978313828679,0.0066,0.965024469996265,214.5933,0,13.6872,428.9826,10.4109,0.9611,199.93313761695174,12.5635,1.394
22-07-2008 8.41,3095.78,2428.37,2184.6647,1326.6264,1.4044,100,100.9347,0.1232,1.5816,-0.006573800114452542,-0.0056,0.9566147306155921,201.4374,0,10.8008,411.7322,9.85189378201618,0.9666,188.02440660424787,12.4545,1.3922
19-07-2008 14.43,3095.78,2494.17,2192.5313,877.6266,1.4187,100,99.2886,0.1257,1.5452,0.0011304897991931614,0.012,0.9499822506293636,197.7945,0,11.2645,428.9826,9.844998411857905,0.9709,189.43132233225043,12.325,1.3974
19-07-2008 19.44,3065.46,2428.37,2184.4333,877.6266,1.5509,100,101.1348,0.1257,1.5816,0.008009970275779491,-0.0149,0.9564294872583766,226.0086,0,13.6872,428.9826,9.804253372869319,0.9646,193.51920255028526,12.5635,1.4278
20-07-2008 3.35,3095.78,2547.7,2209.1439,1404.1624,1.4882,100,96.1589,0.1246,1.5573,0.006858147809055841,-0.0159,0.9597885385773799,208.8911,0,7.9558,412.7846,9.699850064245702,0.9712,196.32661909775734,12.5635,1.4039
19-07-2008 13.17,2978.38,2428.37,2184.4333,877.6266,1.1323,100,101.4076,0.1257,1.5034,0.02109108804696274,0.0113,0.9433,226.0086,0,13.1172,426.4946,9.1999,0.9719,188.35686974120483,12.3817,1.3854
20-07-2008 3.35,3095.78,2428.37,2254.9488,907.5,1.1062,100,95.4878,0.1257,1.5238,0.025,-0.0012,0.9642055756168809,205.5211,0,8.4479,404.5667,9.926696236605856,0.9717,192.71871062198178,12.5255,1.4278
19-07-2008 11.55,3095.78,2481.06,2186.8074,877.6266,1.5509,100,95.4878,0.1251,1.5641,0.00022965001482293593,-0.0179,0.968329369063855,210.9379,0,7.9558,420.4334,10.4109,0.9643,183.3869,12.4485,1.4022
19-07-2008 11.55,3089.87,2582.39,2184.4333,877.6266,1.4855,100,106.8751,0.1211,1.5816,0.015648083351485105,0.0089,0.9631023237047208,199.9925,0,11.8689,405.8472,9.378651180905312,0.9666,183.3869,12.4285,1.427
21-07-2008 8.21,3056.97,2428.37,2229.5659,1327.9037,1.5509,100,99.3858,0.1239,1.5136,-0.0367,0.0109,0.9502267109141748,203.9391,0,8.3976,408.2059,9.1999,0.9647,191.49693272728592,12.3388,1.3945
21-07-2008 8.21,3061.77,2560.81,2201.7119,1431.448,1.5009,100,98.7397,0.1187,1.58,0.025,0.0119,0.9523471411148842,198.5476,0,10.1877,414.883,9.332631470796281,0.968,187.5958078160974,12.5635,1.4152
19-07-2008 19.44,3019.6,2524.34,2222.9693,1077.8603,0.8285,100,100.5369,0.1224,1.5816,0.011838286322452256,-0.0139,0.944479466068854,199.3874,0,10.8755,407.8219,9.872292287861542,0.9632,183.3869,12.3712,1.4122
19-07-2008 15.22,3095.78,2449.64,2184.4333,877.6266,1.5509,100,99.7236,0.1191,1.5816,0.02235986050040948,-0.0144,0.9625353999096019,226.0086,0,13.4281,404.7938,9.1999,0.9699,188.93093267373592,12.4191,1.4241
22-07-2008 0.03,3095.78,2428.37,2184.4333,877.6266,1.1689,100,107.5591,0.119,1.4623,0.025,-0.0179,0.9685434645226797,192.9787,0,8.6575,404.5667,9.89245964633986,0.9641,192.97497924971515,12.3794,1.4165
19-07-2008 11.55,3095.78,2598.28,2241.2975,1148.1346,1.3571,100,103.2434,0.1185,1.5816,0.008854750445557443,-0.0022,0.9557676528489251,199.7066,0,8.3316,413.1631,10.025714408226113,0.9701,191.14730926513576,12.5635,1.3945
19-07-2008 21.35,3052.66,2472.63,2222.7603,1685.4595,1.221,100,107.2393,0.1257,1.4849,0.005267239868862705,-0.014,0.9433,204.0641,0,11.2685,415.2209,10.4109,0.9669,196.574067851093,12.5635,1.3989
19-07-2008 20.24,3046.77,2428.37,2184.4333,1348.3078,1.4372,100,95.4878,0.1202,1.5429,-0.0367,-0.0139,0.9602603616065756,213.5722,0,9.5503,428.9826,9.98146840126662,0.9643,183.3869,11.0018,1.4222
19-07-2008 19.44,3076.96,2428.37,2247.0347,877.6266,1.067,100,105.303,0.121,1.5816,-0.018284829315114087,-0.0071,0.9433,201.6113,0,7.9995,428.9826,9.1999,0.9638,183.3869,12.5059,1.4052
20-07-2008 3.35,2976.02,2428.37,2190.1284,877.6266,1.5032,100,95.4878,0.1185,1.5816,-0.033553728115904485,0.0075,0.9580215827023104,226.0086,0,9.3401,419.8227,10.4109,0.9634,187.40681045044698,12.2129,1.4278
19-07-2008 11.55,3003.59,2444.93,2270.2556,877.6266,1.5509,100,100.8411,0.1205,1.5816,-0.01628715872744613,0.0054,0.9516975303438557,226.0086,0,8.2302,428.9826,9.1999,0.9667,193.2768666488057,12.4178,1.4278
19-07-2008 19.45,3095.78,2428.37,2184.4333,1169.3373,1.459,100,97.8381,0.1257,1.5132,0.014891075481834368,0.0156,0.9433,197.7424,0,11.0894,423.5336,10.4109,0.9668,190.3411820227377,12.5635,1.3825
19-07-2008 21.57,3040.37,2440.13,2213.4867,877.6266,1.5509,100,107.8711,0.1205,1.572,0.0020136275771723763,-0.0179,0.9503318159772405,208.8539,0,9.0926,404.5667,9.598584598857409,0.9643,183.43076224482863,12.4873,1.4237
