user_id,country,gender,age
100,US,M,38
101,ES,F,22
102,BG,,43
103,ES,M,29
104,US,M,45
105,US,F,57
106,ES,M,35
107,US,M,26
108,US,F,27
109,US,,42
110,ES,,45
111,US,M,46
112,US,F,27
113,ES,M,40
114,ES,F,45
115,UK,,31
116,ES,M,51
117,DE,F,38
118,ES,F,57
119,ES,M,31
120,ES,F,40
121,DE,M,43
122,FR,,22
123,UK,M,38
124,FR,F,50
125,UK,M,33
126,US,F,36
127,UK,M,25
128,ES,F,35
129,UK,F,39
130,UK,M,26
131,UK,M,32
132,DE,M,50
133,UK,M,42
134,UK,F,22
135,UK,F,24
136,ES,F,56
137,UK,,22
138,UK,M,25
139,DE,F,39
140,ES,F,34
141,ES,M,43
142,BG,,53
143,UK,F,30
144,US,M,23
145,ES,,29
146,FR,M,22
147,US,,40
148,UK,M,35
149,UK,,22
150,US,F,40
151,ES,M,38
152,DE,M,57
153,UK,F,22
154,US,F,37
155,UK,,57
156,US,M,25
157,UK,M,41
158,BG,F,29
159,US,M,26
160,ES,,57
161,ES,M,32
162,DE,F,39
163,UK,F,40
164,UK,M,46
165,US,,44
166,US,,56
167,BG,M,36
168,UK,M,42
169,BG,,36
170,US,,22
171,ES,F,48
172,ES,F,22
173,US,F,45
174,US,,27
175,ES,M,22
176,US,,23
177,UK,,26
178,UK,M,30
179,ES,F,56
180,US,F,42
181,FR,M,24
182,DE,F,49
183,US,F,29
184,ES,M,34
185,DE,,40
186,ES,F,42
187,US,F,22
188,FR,F,41
189,ES,M,50
190,DE,M,32
191,BG,,43
192,FR,F,33
193,US,M,41
194,DE,F,46
195,UK,,22
196,UK,F,34
197,US,F,38
198,FR,F,46
199,US,F,26
200,US,,53
201,US,F,49
202,US,F,47
203,BG,F,41
204,DE,M,22
205,BG,M,41
206,UK,F,35
207,ES,M,33
208,UK,M,34
209,FR,,52
210,BG,F,32
211,DE,M,37
212,ES,M,41
213,DE,F,35
214,ES,,30
215,ES,M,33
216,US,F,29
217,US,,49
218,UK,F,55
219,US,F,57
220,ES,F,46
221,US,F,25
222,DE,F,37
223,ES,,36
224,US,M,30
225,ES,M,43
226,DE,,31
227,BG,F,48
228,UK,M,22
229,ES,M,44
230,FR,M,47
231,ES,M,24
232,US,F,22
233,DE,F,47
234,FR,F,41
235,ES,M,22
236,US,F,39
237,FR,,45
238,UK,M,22
239,UK,M,28
240,US,F,44
241,FR,M,39
242,DE,M,34
243,DE,M,26
244,FR,M,41
245,US,F,34
246,US,M,31
247,ES,F,22
248,UK,,39
249,US,M,35
250,DE,,52
251,UK,F,38
252,US,F,41
253,UK,M,22
254,US,F,38
255,ES,,30
256,ES,F,54
257,ES,,36
258,BG,,36
259,UK,F,57
260,ES,M,26
261,US,,45
262,BG,M,44
263,FR,F,38
264,UK,F,33
265,US,,57
266,US,F,31
267,ES,M,29
268,ES,M,43
269,US,M,57
270,FR,F,53
271,UK,M,29
272,UK,,48
273,ES,F,22
274,UK,,22
275,ES,F,29
276,BG,F,45
277,UK,F,41
278,US,M,46
279,UK,,34
280,US,M,32
281,UK,M,41
282,FR,M,22
283,DE,,42
284,ES,F,41
285,ES,M,35
286,BG,,36
287,UK,M,46
288,UK,M,22
289,FR,M,57
290,BG,M,39
291,BG,,35
292,US,M,38
293,UK,F,41
294,UK,,34
295,UK,,39
296,UK,M,22
297,DE,M,43
298,BG,,43
299,BG,F,22
300,ES,F,22
301,ES,M,26
302,ES,,32
303,BG,F,32
304,FR,,51
305,DE,M,46
306,DE,F,42
307,FR,F,34
308,US,F,22
309,ES,M,57
310,DE,F,33
311,FR,,57
312,FR,F,33
313,BG,M,51
314,DE,F,42
315,DE,,44
316,UK,F,44
317,US,,57
318,UK,F,57
319,US,F,47
320,ES,,32
321,UK,F,31
322,ES,,22
323,BG,M,48
