session_id,user_id,device,os,minutes
102,100,mobile,android,7
103,100,mobile,ios,7
104,101,tablet,ios,16
105,101,tablet,android,18
106,102,mobile,android,25
107,102,mobile,android,23
108,104,mobile,android,7
109,104,mobile,android,18
110,105,mobile,android,17
111,105,mobile,android,14
112,106,tablet,android,19
113,108,tablet,ios,23
114,109,mobile,android,7
115,111,tablet,android,21
116,112,tablet,android,24
117,112,tablet,ios,17
118,115,mobile,android,18
119,116,mobile,ios,7
120,119,tablet,android,20
121,119,tablet,ios,26
122,121,tablet,ios,28
123,123,tablet,android,7
124,123,tablet,ios,10
125,124,tablet,ios,33
126,124,tablet,ios,34
127,126,tablet,android,7
128,126,mobile,ios,19
129,127,tablet,ios,10
130,128,tablet,android,17
131,129,tablet,android,10
132,129,mobile,android,14
133,131,mobile,android,10
134,132,mobile,android,24
135,134,tablet,android,27
136,135,tablet,android,15
137,136,mobile,android,10
138,138,tablet,android,12
139,139,tablet,android,34
140,140,tablet,ios,20
141,141,tablet,android,14
142,141,tablet,ios,26
143,141,tablet,ios,16
144,144,tablet,android,34
145,145,mobile,android,19
146,146,tablet,ios,16
147,148,mobile,android,23
148,149,tablet,android,21
149,151,mobile,android,11
150,152,tablet,ios,7
151,152,tablet,android,17
152,153,tablet,ios,13
153,153,tablet,ios,9
154,154,mobile,ios,13
155,154,mobile,ios,9
156,157,tablet,android,34
157,158,tablet,ios,30
158,160,mobile,android,12
159,161,tablet,android,9
160,162,mobile,ios,29
161,162,mobile,ios,27
162,163,mobile,ios,34
163,164,mobile,ios,8
164,165,tablet,android,33
165,166,mobile,ios,12
166,166,mobile,ios,25
167,167,tablet,ios,21
168,169,tablet,ios,23
169,169,mobile,ios,21
170,169,tablet,ios,7
171,171,mobile,android,27
172,173,tablet,android,34
173,174,tablet,ios,15
174,175,tablet,ios,30
175,175,tablet,ios,7
176,176,tablet,android,34
177,179,tablet,ios,13
178,179,mobile,android,16
179,179,mobile,ios,7
180,180,mobile,android,13
181,180,mobile,android,8
182,180,tablet,ios,16
183,182,tablet,ios,16
184,182,mobile,ios,15
185,183,tablet,ios,17
186,184,mobile,android,17
187,185,tablet,ios,19
188,186,mobile,android,7
189,186,mobile,android,10
190,187,tablet,ios,32
191,188,mobile,ios,14
192,188,mobile,ios,14
193,190,tablet,android,20
194,191,mobile,android,8
195,193,mobile,ios,21
196,194,tablet,android,28
197,194,mobile,android,14
198,196,tablet,android,24
199,196,mobile,android,30
200,197,mobile,ios,13
201,198,mobile,ios,31
202,198,tablet,ios,26
203,199,tablet,ios,22
204,200,tablet,android,26
205,201,mobile,ios,19
206,202,tablet,ios,7
207,202,tablet,android,18
208,203,mobile,ios,31
209,205,mobile,android,12
210,207,tablet,ios,17
211,208,tablet,ios,25
212,209,tablet,ios,13
213,209,mobile,ios,23
214,210,tablet,android,30
215,212,mobile,android,20
216,213,mobile,android,27
217,213,mobile,ios,18
218,215,tablet,ios,7
219,215,tablet,android,13
220,216,tablet,ios,31
221,216,tablet,android,15
222,218,mobile,android,10
223,219,tablet,ios,7
224,220,mobile,ios,18
225,221,tablet,ios,23
226,222,tablet,ios,28
227,222,tablet,ios,26
228,223,mobile,android,21
229,225,tablet,android,28
230,226,tablet,ios,11
231,226,tablet,ios,15
232,226,tablet,android,21
233,230,mobile,android,15
234,230,mobile,ios,7
235,231,tablet,ios,24
236,232,tablet,android,32
237,234,mobile,android,34
238,237,tablet,ios,20
239,237,mobile,ios,32
240,237,mobile,ios,23
241,238,tablet,ios,22
242,239,mobile,ios,7
243,240,mobile,ios,19
244,242,tablet,android,25
245,242,tablet,ios,17
246,243,mobile,ios,34
247,244,mobile,android,25
248,244,tablet,android,27
249,245,tablet,ios,17
250,245,tablet,ios,19
251,246,tablet,android,22
252,249,tablet,android,19
253,250,tablet,ios,32
254,252,mobile,ios,15
255,253,tablet,android,20
256,254,tablet,android,18
257,254,tablet,android,16
258,256,mobile,ios,20
259,256,tablet,ios,22
260,256,mobile,ios,25
261,258,tablet,ios,7
262,258,tablet,ios,11
263,258,mobile,ios,11
264,259,tablet,ios,34
265,259,mobile,ios,12
266,260,tablet,android,19
267,261,mobile,android,10
268,261,tablet,ios,20
269,261,mobile,ios,7
270,263,tablet,android,28
271,263,mobile,android,17
272,264,tablet,android,8
273,265,tablet,android,33
274,266,tablet,ios,26
275,266,tablet,ios,9
276,268,mobile,android,18
277,269,mobile,ios,11
278,271,mobile,android,16
279,273,tablet,ios,17
280,274,mobile,android,23
281,275,tablet,android,12
282,276,tablet,ios,21
283,276,tablet,ios,21
284,277,mobile,ios,7
285,277,mobile,ios,26
286,278,mobile,ios,22
287,279,mobile,android,22
288,280,mobile,android,26
289,284,tablet,ios,22
290,284,tablet,ios,17
291,285,mobile,android,17
292,286,tablet,ios,34
293,286,tablet,android,25
294,289,mobile,android,28
295,291,tablet,ios,27
296,291,mobile,android,18
297,291,tablet,ios,21
298,292,mobile,ios,19
299,292,mobile,ios,15
300,293,tablet,android,13
301,294,tablet,ios,34
302,294,mobile,ios,32
303,296,tablet,ios,32
304,297,mobile,android,34
305,298,tablet,ios,28
306,298,mobile,ios,17
307,300,tablet,ios,20
308,301,mobile,ios,25
309,303,mobile,ios,22
310,304,tablet,android,21
311,305,mobile,ios,34
312,306,mobile,ios,26
313,307,tablet,ios,33
314,307,tablet,ios,34
315,307,tablet,ios,34
316,308,tablet,android,24
317,308,tablet,ios,20
318,309,mobile,android,7
319,309,mobile,ios,7
320,310,tablet,ios,31
321,310,mobile,ios,17
322,311,mobile,ios,34
323,311,mobile,android,28
324,312,tablet,ios,34
325,313,mobile,ios,28
326,313,mobile,ios,27
327,316,tablet,ios,25
328,316,tablet,ios,31
329,317,mobile,android,28
330,318,mobile,ios,27
331,318,tablet,ios,17
332,318,mobile,ios,21
333,319,mobile,android,11
334,321,tablet,ios,34
335,321,tablet,android,31
336,323,mobile,ios,34
337,324,mobile,ios,28
338,324,tablet,android,30
339,325,tablet,android,27
340,325,tablet,android,18
341,326,mobile,ios,30
342,326,mobile,ios,29
343,327,mobile,android,21
344,329,tablet,ios,23
345,330,tablet,android,7
346,330,mobile,ios,14
347,331,tablet,ios,13
348,333,mobile,ios,21
349,333,tablet,ios,33
