ID,device_id,ip_address,token,uv,temperature,humidity,volt,rotate,pressure,vibration,event_type,timestamp
30,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.122488398,88,77,189.2750054,205.8351732,95.64772514,76.94200122,Telemetry,2021-01-02 13:00:00
50,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.336305602,74,82,253.5660858,321.9034136,107.82090866,91.04258138,Telemetry,2021-01-02 16:00:00
14,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.253069308,83,86,120.8823166,428.9393279,188.6799927,56.20327759,Telemetry,2021-01-01 20:00:00
50,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.735912335,81,98,204.5925325,577.4986572,149.73757696,99.24182892,Telemetry,2021-01-01 00:00:00
47,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.822906196,70,83,198.0057873,370.1780532,85.52426217,62.6347903,Telemetry,2021-01-03 06:00:00
35,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.221622373,88,100,181.8797835,423.4826715,137.74193441,91.48889509,Telemetry,2021-01-01 10:00:00
18,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.499824129,72,81,120.8823166,393.8124179,153.54492999,80.04170467,Telemetry,2021-01-02 03:00:00
30,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.690284285,80,79,200.3473806,577.4986572,128.60415301,85.36322455,Telemetry,2021-01-02 04:00:00
40,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.495740451,85,76,178.1527223,202.4996784,126.01546176,69.01671125,Telemetry,2021-01-02 12:00:00
1,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.822906196,88,91,156.1733123,577.4986572,188.6799927,89.33915792,Telemetry,2021-01-01 18:00:00
9,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.200598065,71,93,120.8823166,180.9416186,91.07020631,92.06283472,Telemetry,2021-01-02 03:00:00
50,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.581970424,78,86,175.4387322,392.8396462,77.32589532,62.39769019,Telemetry,2021-01-01 00:00:00
47,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.345760193,82,85,218.57444,391.9789192,86.70860605,56.20327759,Telemetry,2021-01-01 14:00:00
27,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.379273977,88,81,120.8823166,470.5020276,164.6537419,99.24182892,Telemetry,2021-01-02 20:00:00
26,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.742271761,70,87,233.505097,417.8079073,97.0866798,93.59110212,Telemetry,2021-01-02 02:00:00
39,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.461599266,70,90,197.5862232,472.7850637,83.85088436,74.20240045,Telemetry,2021-01-02 07:00:00
42,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.108878985,88,80,120.8823166,577.4986572,118.21476618,58.13834604,Telemetry,2021-01-02 05:00:00
27,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.475931974,71,85,152.1658149,440.2998677,168.8022543,56.20327759,Telemetry,2021-01-01 19:00:00
50,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.774176325,76,94,128.5337866,577.4986572,95.04693987,94.42254309,Telemetry,2021-01-01 06:00:00
21,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.365673592,70,94,171.425632,309.1043599,89.65379853,99.24182892,Telemetry,2021-01-01 09:00:00
9,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.562700936,76,77,219.3606834,577.4986572,115.98019121,85.53053952,Telemetry,2020-12-31 17:00:00
50,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.244672349,79,94,120.8823166,425.4696386,173.52718531,74.88642022,Telemetry,2021-01-03 05:00:00
33,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.350834745,86,76,229.0777154,375.166934,93.05218943,89.76284202,Telemetry,2021-01-02 16:00:00
25,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.64956495,76,76,146.3986663,557.4312084,134.77385101,74.19447384,Telemetry,2021-01-02 07:00:00
38,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.556149149,75,90,219.1447351,457.6574684,120.16729523,67.93792725,Telemetry,2021-01-02 04:00:00
31,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.533133455,70,89,122.1365824,409.6771916,155.81364258,57.2015471,Telemetry,2021-01-02 12:00:00
29,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.598641832,78,94,169.6409464,362.2394478,168.41703975,60.10795584,Telemetry,2021-01-01 17:00:00
50,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.787673211,71,79,195.160701,385.4936072,136.87084037,56.20327759,Telemetry,2021-01-03 07:00:00
1,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.404728094,84,89,120.8823166,442.0258898,158.6648823,73.52083461,Telemetry,2021-01-02 19:00:00
1,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.108878985,82,77,253.5660858,309.5259153,114.9106747,90.64410689,Telemetry,2021-01-02 14:00:00
36,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.357934994,75,79,153.047844,414.7783102,138.63079778,56.20327759,Telemetry,2021-01-02 20:00:00
36,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.26416514,88,95,236.0604027,410.8996617,174.23130183,90.14945391,Telemetry,2021-01-02 08:00:00
50,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.488850111,82,77,211.75365,433.1167264,95.35231611,98.35152601,Telemetry,2020-12-31 17:00:00
40,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.324385914,88,76,253.5660858,577.4986572,101.62347186,99.24182892,Telemetry,2021-01-02 01:00:00
27,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.790720773,86,91,127.2797424,451.7913811,104.14756744,63.78531807,Telemetry,2021-01-01 18:00:00
20,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.413952669,74,96,188.3549505,354.8928878,159.32837523,62.17414305,Telemetry,2021-01-01 23:00:00
1,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.295209847,72,76,233.8013103,577.4986572,188.6799927,99.24182892,Telemetry,2021-01-01 23:00:00
29,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.67796263,75,76,206.7046255,420.7438482,81.58409691,92.10144925,Telemetry,2021-01-02 04:00:00
32,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.822661436,70,92,209.9727152,508.5583635,182.9786797,81.91953265,Telemetry,2021-01-01 16:00:00
35,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.776345689,87,76,228.0894561,284.723859,89.9492433,81.76757744,Telemetry,2021-01-02 04:00:00
46,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.618517697,70,79,223.8047205,356.9061013,108.06333149,56.20327759,Telemetry,2021-01-02 14:00:00
22,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.321287199,88,88,142.1486714,577.4986572,156.16345722,56.20327759,Telemetry,2021-01-02 04:00:00
6,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.628843209,74,84,252.5606338,430.192713,188.6799927,78.26931318,Telemetry,2021-01-02 04:00:00
21,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.108878985,88,87,120.8823166,470.4119749,76.41928864,89.82094923,Telemetry,2020-12-31 18:00:00
46,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.108878985,88,89,220.693264,412.5466574,173.87175485,77.00080717,Telemetry,2021-01-01 03:00:00
50,Device_1,10.163.2.1,token_PLzaCGwe_2021=,0.822906196,75,84,203.2009745,458.9654215,127.96588705,99.24182892,Telemetry,2021-01-02 16:00:00
