user_id,country,gender,age
100,UK,,25
101,ES,F,22
102,BG,,25
103,US,M,31
104,DE,F,38
105,US,M,28
106,US,,45
107,UK,M,46
108,US,,22
109,BG,F,22
110,US,F,42
111,US,,22
112,US,,37
113,UK,,36
114,US,F,35
115,US,F,32
116,ES,M,31
117,DE,M,43
118,UK,M,26
119,DE,F,38
120,US,,35
121,US,M,25
122,ES,F,45
123,ES,M,41
124,US,,37
125,US,F,22
126,ES,M,35
127,US,M,31
128,UK,F,41
129,ES,,34
130,US,M,46
131,FR,F,22
132,ES,M,33
133,UK,M,28
134,ES,,39
135,ES,F,46
136,US,,35
137,US,F,33
138,FR,M,50
139,BG,M,42
140,BG,,22
141,BG,M,24
142,US,M,36
143,DE,,39
144,US,F,44
145,ES,M,26
146,US,M,47
147,US,,28
148,US,F,48
149,US,F,51
150,US,M,36
151,ES,F,22
152,ES,,39
153,DE,F,42
154,US,F,26
155,US,M,32
156,US,F,41
157,UK,,24
158,US,F,36
159,ES,M,36
160,UK,,22
161,US,F,49
162,UK,F,22
163,UK,F,46
164,BG,,46
165,UK,F,22
166,US,,26
167,US,F,39
168,ES,M,57
169,FR,M,57
170,ES,M,51
171,FR,,39
172,US,M,29
173,UK,F,51
174,ES,F,34
175,DE,,57
176,ES,F,23
177,ES,F,47
178,UK,F,37
179,ES,M,45
180,UK,F,35
181,BG,,45
182,US,M,35
183,US,M,34
184,US,M,33
185,US,F,22
186,ES,,29
187,US,F,30
188,UK,,36
189,US,,40
190,US,F,34
191,ES,M,53
192,US,M,26
193,US,,57
194,FR,,38
195,US,M,38
196,US,M,26
197,FR,M,39
198,UK,,57
199,US,F,38
