Epoch 1, Loss G:  1.7714,Loss D:  0.0393
Epoch 2, Loss G:  1.7988,Loss D: -0.0104
Epoch 3, Loss G:  1.5642,Loss D:  0.0520
Epoch 4, Loss G:  1.9946,Loss D: -0.0046
Epoch 5, Loss G:  1.6763,Loss D: -0.0655
Epoch 6, Loss G:  1.6766,Loss D: -0.0114
Epoch 7, Loss G:  1.6571,Loss D:  0.0896
Epoch 8, Loss G:  1.9331,Loss D: -0.0219
Epoch 9, Loss G:  1.8698,Loss D:  0.0120
Epoch 10, Loss G:  1.8399,Loss D: -0.0823
Epoch 11, Loss G:  1.7312,Loss D:  0.0073
Epoch 12, Loss G:  1.5915,Loss D: -0.0309
Epoch 13, Loss G:  1.6879,Loss D:  0.0228
Epoch 14, Loss G:  1.7429,Loss D: -0.0412
Epoch 15, Loss G:  1.6347,Loss D:  0.0815
Epoch 16, Loss G:  1.7998,Loss D:  0.0168
Epoch 17, Loss G:  1.8029,Loss D: -0.0111
Epoch 18, Loss G:  1.6146,Loss D: -0.1010
Epoch 19, Loss G:  1.6190,Loss D: -0.0506
Epoch 20, Loss G:  1.8036,Loss D: -0.1177
Epoch 21, Loss G:  1.7893,Loss D: -0.1060
Epoch 22, Loss G:  1.6287,Loss D: -0.0126
Epoch 23, Loss G:  1.5710,Loss D: -0.1376
Epoch 24, Loss G:  1.4994,Loss D: -0.1176
Epoch 25, Loss G:  1.5832,Loss D: -0.1009
Epoch 26, Loss G:  1.5943,Loss D: -0.2399
Epoch 27, Loss G:  1.6137,Loss D: -0.3011
Epoch 28, Loss G:  1.5733,Loss D: -0.0775
Epoch 29, Loss G:  1.3311,Loss D: -0.3138
Epoch 30, Loss G:  1.4457,Loss D: -0.2126
Epoch 31, Loss G:  1.2376,Loss D: -0.1840
Epoch 32, Loss G:  1.5922,Loss D: -0.1626
Epoch 33, Loss G:  1.6516,Loss D: -0.4490
Epoch 34, Loss G:  1.6497,Loss D: -0.2902
Epoch 35, Loss G:  1.1770,Loss D: -0.3441
Epoch 36, Loss G:  1.2770,Loss D: -0.3183
Epoch 37, Loss G:  1.6500,Loss D: -0.3998
Epoch 38, Loss G:  1.5483,Loss D: -0.3447
Epoch 39, Loss G:  1.3405,Loss D: -0.3272
Epoch 40, Loss G:  1.3137,Loss D: -0.4625
Epoch 41, Loss G:  1.3314,Loss D: -0.1964
Epoch 42, Loss G:  1.3517,Loss D: -0.5160
Epoch 43, Loss G:  1.2579,Loss D: -0.2950
Epoch 44, Loss G:  1.4104,Loss D: -0.2921
Epoch 45, Loss G:  1.1654,Loss D: -0.2195
Epoch 46, Loss G:  1.1888,Loss D: -0.1356
Epoch 47, Loss G:  1.2639,Loss D: -0.3276
Epoch 48, Loss G:  1.2838,Loss D: -0.1539
Epoch 49, Loss G:  1.2366,Loss D:  0.0029
Epoch 50, Loss G:  1.1991,Loss D: -0.1442
Epoch 51, Loss G:  1.2605,Loss D: -0.1175
Epoch 52, Loss G:  1.1335,Loss D:  0.0259
Epoch 53, Loss G:  1.1676,Loss D: -0.1309
Epoch 54, Loss G:  1.1159,Loss D: -0.2159
Epoch 55, Loss G:  1.3255,Loss D: -0.3262
Epoch 56, Loss G:  0.8152,Loss D: -0.1367
Epoch 57, Loss G:  0.7706,Loss D:  0.3015
Epoch 58, Loss G:  1.0901,Loss D: -0.0389
Epoch 59, Loss G:  1.0210,Loss D:  0.0729
Epoch 60, Loss G:  0.9013,Loss D:  0.1915
Epoch 61, Loss G:  0.9049,Loss D: -0.1502
Epoch 62, Loss G:  0.9145,Loss D: -0.1186
Epoch 63, Loss G:  0.8771,Loss D:  0.0071
Epoch 64, Loss G:  0.9015,Loss D:  0.1712
Epoch 65, Loss G:  0.7825,Loss D:  0.0248
Epoch 66, Loss G:  1.2569,Loss D:  0.0747
Epoch 67, Loss G:  0.7580,Loss D: -0.3033
Epoch 68, Loss G:  1.0975,Loss D: -0.1334
Epoch 69, Loss G:  0.9816,Loss D: -0.1169
Epoch 70, Loss G:  0.8964,Loss D: -0.1724
Epoch 71, Loss G:  1.0757,Loss D: -0.2483
Epoch 72, Loss G:  0.9496,Loss D: -0.0134
Epoch 73, Loss G:  1.0617,Loss D: -0.2852
Epoch 74, Loss G:  1.2337,Loss D: -0.3898
Epoch 75, Loss G:  1.3543,Loss D: -0.2558
Epoch 76, Loss G:  1.0546,Loss D: -0.0109
Epoch 77, Loss G:  1.1203,Loss D: -0.2937
Epoch 78, Loss G:  1.4301,Loss D: -0.1680
Epoch 79, Loss G:  0.9861,Loss D: -0.1399
Epoch 80, Loss G:  0.9336,Loss D:  0.1697
Epoch 81, Loss G:  1.0516,Loss D: -0.0681
Epoch 82, Loss G:  1.0303,Loss D:  0.0296
Epoch 83, Loss G:  1.2126,Loss D: -0.0621
Epoch 84, Loss G:  0.9141,Loss D: -0.0052
Epoch 85, Loss G:  0.9041,Loss D: -0.0368
Epoch 86, Loss G:  0.7244,Loss D:  0.2153
Epoch 87, Loss G:  0.9482,Loss D:  0.2549
Epoch 88, Loss G:  0.8383,Loss D:  0.2074
Epoch 89, Loss G:  0.8882,Loss D: -0.0365
Epoch 90, Loss G:  0.5903,Loss D:  0.1732
Epoch 91, Loss G:  0.8830,Loss D: -0.2122
Epoch 92, Loss G:  1.0912,Loss D:  0.0417
Epoch 93, Loss G:  0.7720,Loss D: -0.0536
Epoch 94, Loss G:  0.9274,Loss D: -0.0582
Epoch 95, Loss G:  0.8918,Loss D: -0.1672
Epoch 96, Loss G:  0.8424,Loss D:  0.1025
Epoch 97, Loss G:  1.0690,Loss D: -0.0668
Epoch 98, Loss G:  1.1344,Loss D: -0.1553
Epoch 99, Loss G:  0.8487,Loss D: -0.0961
Epoch 100, Loss G:  1.2262,Loss D: -0.2371
Epoch 101, Loss G:  1.0647,Loss D: -0.1754
Epoch 102, Loss G:  1.4545,Loss D: -0.1786
Epoch 103, Loss G:  1.1920,Loss D:  0.0001
Epoch 104, Loss G:  0.6425,Loss D:  0.1653
Epoch 105, Loss G:  1.1256,Loss D: -0.2727
Epoch 106, Loss G:  0.9135,Loss D: -0.3034
Epoch 107, Loss G:  1.1660,Loss D: -0.0939
Epoch 108, Loss G:  1.2539,Loss D:  0.0378
Epoch 109, Loss G:  1.2569,Loss D:  0.0532
Epoch 110, Loss G:  0.9936,Loss D:  0.0053
Epoch 111, Loss G:  1.0649,Loss D: -0.0534
Epoch 112, Loss G:  0.8720,Loss D:  0.0429
Epoch 113, Loss G:  0.7327,Loss D:  0.0432
Epoch 114, Loss G:  0.9251,Loss D: -0.1667
Epoch 115, Loss G:  1.1009,Loss D: -0.0046
Epoch 116, Loss G:  0.7499,Loss D:  0.0645
Epoch 117, Loss G:  0.7513,Loss D:  0.0453
Epoch 118, Loss G:  0.8171,Loss D: -0.0307
Epoch 119, Loss G:  0.8478,Loss D:  0.0720
Epoch 120, Loss G:  0.8155,Loss D:  0.2201
Epoch 121, Loss G:  0.8013,Loss D:  0.1346
Epoch 122, Loss G:  0.7771,Loss D:  0.1064
Epoch 123, Loss G:  0.5353,Loss D:  0.1753
Epoch 124, Loss G:  0.6841,Loss D:  0.0159
Epoch 125, Loss G:  1.0354,Loss D:  0.1671
Epoch 126, Loss G:  0.6410,Loss D:  0.1119
Epoch 127, Loss G:  0.7623,Loss D:  0.0759
Epoch 128, Loss G:  0.8794,Loss D: -0.1534
Epoch 129, Loss G:  0.8936,Loss D:  0.0363
Epoch 130, Loss G:  0.6707,Loss D:  0.0993
Epoch 131, Loss G:  0.6946,Loss D: -0.1205
Epoch 132, Loss G:  0.9325,Loss D: -0.0753
Epoch 133, Loss G:  0.8495,Loss D: -0.2216
Epoch 134, Loss G:  0.8968,Loss D:  0.0647
Epoch 135, Loss G:  0.8658,Loss D: -0.4481
Epoch 136, Loss G:  0.8587,Loss D:  0.1866
Epoch 137, Loss G:  0.5181,Loss D: -0.2376
Epoch 138, Loss G:  0.7814,Loss D:  0.0027
Epoch 139, Loss G:  1.0402,Loss D: -0.2032
Epoch 140, Loss G:  0.8592,Loss D: -0.2126
Epoch 141, Loss G:  1.1085,Loss D: -0.3386
Epoch 142, Loss G:  0.9418,Loss D: -0.0370
Epoch 143, Loss G:  0.9567,Loss D: -0.1018
Epoch 144, Loss G:  0.7796,Loss D: -0.1156
Epoch 145, Loss G:  1.0076,Loss D: -0.0357
Epoch 146, Loss G:  0.6988,Loss D: -0.1489
Epoch 147, Loss G:  0.9041,Loss D: -0.1391
Epoch 148, Loss G:  0.8461,Loss D: -0.0434
Epoch 149, Loss G:  0.7873,Loss D: -0.1229
Epoch 150, Loss G:  0.9812,Loss D:  0.1121
Epoch 151, Loss G:  0.8433,Loss D: -0.1849
Epoch 152, Loss G:  0.7796,Loss D:  0.2382
Epoch 153, Loss G:  0.7617,Loss D:  0.1267
Epoch 154, Loss G:  0.8882,Loss D: -0.2024
Epoch 155, Loss G:  0.5188,Loss D: -0.2421
Epoch 156, Loss G:  0.9973,Loss D: -0.0159
Epoch 157, Loss G:  0.7045,Loss D:  0.1929
Epoch 158, Loss G:  0.6426,Loss D:  0.2369
Epoch 159, Loss G:  0.8790,Loss D: -0.2750
Epoch 160, Loss G:  0.9762,Loss D:  0.0765
Epoch 161, Loss G:  0.7047,Loss D:  0.0144
Epoch 162, Loss G:  0.5143,Loss D: -0.0703
Epoch 163, Loss G:  0.7665,Loss D: -0.2331
Epoch 164, Loss G:  0.8364,Loss D:  0.3169
Epoch 165, Loss G:  0.7810,Loss D:  0.0953
Epoch 166, Loss G:  0.6453,Loss D:  0.3485
Epoch 167, Loss G:  0.9073,Loss D:  0.1313
Epoch 168, Loss G:  1.0067,Loss D: -0.0407
Epoch 169, Loss G:  0.6458,Loss D:  0.1510
Epoch 170, Loss G:  0.7667,Loss D:  0.0062
Epoch 171, Loss G:  0.7438,Loss D: -0.0044
Epoch 172, Loss G:  0.7976,Loss D: -0.0401
Epoch 173, Loss G:  0.8315,Loss D:  0.2331
Epoch 174, Loss G:  0.8055,Loss D: -0.2397
Epoch 175, Loss G:  0.7998,Loss D:  0.0067
Epoch 176, Loss G:  0.8313,Loss D: -0.1304
Epoch 177, Loss G:  0.7615,Loss D:  0.0717
Epoch 178, Loss G:  0.8339,Loss D:  0.0006
Epoch 179, Loss G:  1.0827,Loss D: -0.2271
Epoch 180, Loss G:  0.7325,Loss D:  0.0363
Epoch 181, Loss G:  0.6970,Loss D: -0.2672
Epoch 182, Loss G:  0.7775,Loss D: -0.1800
Epoch 183, Loss G:  0.7279,Loss D:  0.0020
Epoch 184, Loss G:  0.8510,Loss D: -0.0885
Epoch 185, Loss G:  0.6969,Loss D: -0.2833
Epoch 186, Loss G:  1.0001,Loss D:  0.0290
Epoch 187, Loss G:  0.5158,Loss D:  0.2187
Epoch 188, Loss G:  0.5468,Loss D: -0.0947
