Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change
SUPPLIER A67,S016,A376,3.14,1.22,0.02
SUPPLIER A5,S064,A375,1.67,1.29,0.04
SUPPLIER A43,S010,A392,1.67,1.36,0.05
SUPPLIER A39,S086,A402,2.21,2.18,0.0
SUPPLIER G,S013,A398,1.46,1.35,0.04
SUPPLIER A6,S079,A364,2.09,1.45,0.06
SUPPLIER A39,S037,A363,1.59,1.42,0.01
SUPPLIER A31,S025,A400,1.44,1.5,0.06
TOP DIE CASTING,S030,A345,3.14,1.54,0.01
SUPPLIER A18,S026,A394,3.14,1.49,0.05
SUPPLIER A64,S002,A412,1.66,1.21,0.02
SUPPLIER A43,S085,A385,1.55,1.38,0.06
SUPPLIER E,S086,A415,2.46,1.69,0.02
SUPPLIER A17,S040,A390,1.81,1.69,0.01
SUPPLIER A36,S068,A402,2.34,1.31,0.05
TOP DIE CASTING,S088,A390,2.43,1.42,0.07
SUPPLIER A51,S028,A388,1.67,1.43,0.03
SUPPLIER A23,S010,A407,1.58,1.2,0.07
SUPPLIER A31,S035,A388,1.49,1.42,0.05
SUPPLIER A3,S057,A400,2.19,1.2,0.05
TOP DIE CASTING,S045,A396,2.17,1.27,0.03
SUPPLIER A28,S064,A388,2.0,1.45,0.04
SUPPLIER A51,S080,A349,2.34,1.35,0.02
SUPPLIER A73,S069,A400,1.77,1.2,0.06
SUPPLIER A58,S051,A412,1.39,1.2,0.03
SUPPLIER A41,S075,A371,1.57,1.44,0.05
SUPPLIER G,S071,A400,1.59,1.48,0.07
SUPPLIER A17,S016,A369,1.49,1.2,0.07
SUPPLIER A50,S076,A101,1.75,1.37,0.01
SUPPLIER A61,S057,A396,1.73,1.57,0.01
SUPPLIER A50,S003,A408,1.48,1.9,0.02
SUPPLIER A67,S012,A403,1.52,1.46,0.06
SUPPLIER A70,S078,A359,2.06,1.6,0.0
SUPPLIER A37,S082,B747,1.32,1.2,0.03
SUPPLIER A48,S041,A386,1.56,3.08,0.05
SUPPLIER A48,S026,A390,1.44,1.2,0.04
SUPPLIER A35,S040,A379,1.62,1.36,0.06
SUPPLIER A54,S093,A376,1.59,1.77,0.05
SUPPLIER A4,S074,A400,2.0,1.32,0.04
SUPPLIER A52,S041,A402,2.14,1.31,0.05
SUPPLIER A63,S018,A372,1.5,1.6,0.04
XPZ Supp,S070,A408,1.98,1.2,0.05
TOP DIE CASTING,S027,A407,1.54,1.34,0.05
SUPPLIER A5,S028,A377,2.38,1.37,0.06
SUPPLIER D,S053,B747,1.75,1.21,0.03
SUPPLIER A8,S086,A340,3.14,1.31,0.04
SUPPLIER A44,S086,A400,1.39,1.33,-0.02
SUPPLIER A54,S021,A401,1.65,1.31,0.06
SUPPLIER A72,S006,A367,2.47,1.42,0.06
SUPPLIER AA,S079,A342,2.05,1.2,0.04
SUPPLIER A10,S029,A101,2.33,1.21,0.02
SUPPLIER A1,S063,A403,1.56,1.51,0.2
SUPPLIER A19,S021,A402,2.27,1.29,0.01
SUPPLIER A18,S068,A380,1.7,1.34,0.04
SUPPLIER A8,S037,A101,1.93,1.2,0.06
SUPPLIER A6,S069,A400,3.14,2.39,0.04
SUPPLIER A62,S030,A367,3.14,1.52,0.05
SUPPLIER A17,S078,A390,1.68,1.2,0.03
SUPPLIER A5,S081,A360,1.46,2.04,0.07
SUPPLIER A41,S001,A401,1.47,1.36,0.03
SUPPLIER A1,S085,A385,1.89,1.27,0.04
SUPPLIER A21,S069,A371,2.01,1.2,0.01
SUPPLIER A52,S008,A372,2.22,1.27,0.02
SUPPLIER A7,S037,A330,1.62,1.49,0.05
SUPPLIER D,S088,A385,1.7,1.44,0.05
SUPPLIER A64,S063,A352,1.56,1.56,0.05
SUPPLIER A58,S011,A373,2.0,1.45,0.05
SUPPLIER AD,S028,A368,1.63,1.49,0.06
SUPPLIER A3,S068,A347,1.75,1.29,0.03
SUPPLIER A18,S032,A360,1.7,1.56,0.05
SUPPLIER A41,S006,A407,1.74,1.2,-0.01
STRONG ALLOY,S050,A351,2.21,1.2,0.06
SUPPLIER A58,S077,A415,1.81,1.41,0.05
SUPPLIER A9,S090,A392,1.69,2.09,0.02
SUPPLIER A49,S021,A401,1.72,1.39,0.06
SUPPLIER A67,S070,A330,1.32,1.54,0.05
SUPPLIER A70,S075,A346,2.37,1.54,0.03
SUPPLIER A6,S028,A368,2.38,1.53,0.08
SUPPLIER A48,S080,A393,1.33,1.26,0.05
SUPPLIER A72,S042,A397,1.51,1.65,0.06
SUPPLIER A33,S021,A400,1.63,1.4,0.05
SUPPLIER A52,S030,A340,1.52,1.43,0.05
SUPPLIER A27,S082,A394,1.21,1.46,0.02
SUPPLIER A48,S051,A320,2.04,1.57,0.04
SUPPLIER A15,S011,A361,1.32,1.36,0.05
SUPPLIER AA,S043,A400,1.55,1.23,0.07
SUPPLIER A50,S007,A378,1.83,1.24,0.03
SUPPLIER A57,S045,A371,2.29,1.37,0.06
SUPPLIER A62,S019,A380,1.95,1.42,0.01
SUPPLIER A51,S055,A342,2.62,1.58,0.06
SUPPLIER A52,S088,A330,1.48,1.45,0.01
SUPPLIER A10,S073,A381,2.21,1.45,0.07
SUPPLIER A41,S010,A400,1.65,1.39,0.04
SUPPLIER A61,S037,A397,2.33,1.35,0.06
SUPPLIER A21,S039,A388,2.45,1.43,0.0
SUPPLIER A43,S059,A394,1.47,1.45,0.02
SUPPLIER A32,S008,B747,2.18,1.28,0.03
SUPPLIER A58,S016,A396,1.69,1.89,0.05
SUPPLIER A61,S054,A400,1.3,1.52,0.07
SUPPLIER A52,S016,A397,1.48,1.28,0.05
SUPPLIER A1,S047,A399,2.5,1.26,0.06
SUPPLIER A41,S024,A391,1.53,1.2,0.04
SUPPLIER A19,S039,A403,1.53,1.38,-0.0
SUPPLIER C,S069,A342,2.1,1.28,0.05
SUPPLIER A35,S058,A370,1.5,1.85,0.05
SUPPLIER A53,S081,A394,1.94,1.22,-0.01
SUPPLIER A18,S077,A412,1.78,1.61,0.05
SUPPLIER A15,S001,A372,2.08,1.2,0.06
SUPPLIER A66,S003,A330,2.9,1.25,0.03
STRONG ALLOY,S081,A364,3.14,1.75,0.04
SUPPLIER A37,S059,A377,1.68,1.56,0.02
SUPPLIER A68,S029,A392,1.68,2.86,0.02
SUPPLIER A8,S093,A357,2.24,1.4,0.03
SUPPLIER A43,S039,A101,2.44,1.43,0.01
SUPPLIER A60,S057,A397,1.52,1.34,0.03
SUPPLIER A37,S038,A399,2.44,1.43,0.07
XPZ Supp,S086,A409,2.24,1.47,0.02
SUPPLIER A38,S013,A397,2.48,1.55,0.05
SUPPLIER C,S018,A345,1.51,1.27,0.07
SUPPLIER C,S032,A386,1.94,1.34,0.06
SUPPLIER A43,S024,A344,1.69,1.32,0.05
SUPPLIER E,S002,A393,2.21,1.37,0.06
SUPPLIER A12,S070,A374,2.1,1.25,0.03
SUPPLIER A59,S045,A390,1.55,1.28,0.05
SUPPLIER A59,S042,A349,1.54,1.23,0.05
SUPPLIER A17,S055,A412,1.58,1.27,0.04
TOP DIE CASTING,S068,B747,1.64,1.43,0.04
SUPPLIER A46,S048,A402,1.57,1.33,0.05
SUPPLIER A52,S069,A386,1.68,1.43,0.06
SUPPLIER A56,S008,A374,3.14,1.21,0.05
SUPPLIER A33,S019,A409,2.39,1.49,0.05
TOP DIE CASTING,S023,A101,1.48,1.37,0.06
SUPPLIER A70,S019,A407,1.58,1.22,0.03
SUPPLIER A3,S018,A403,3.04,1.27,0.02
SUPPLIER A65,S026,A400,1.64,1.22,0.06
XYZ,S028,A401,1.75,1.2,0.03
SUPPLIER A30,S018,A415,1.69,1.46,0.08
SUPPLIER A63,S026,A371,2.46,1.2,0.05
TOP DIE CASTING,S087,B747,2.43,1.27,0.08
BLUE METAL,S050,A349,1.68,1.47,0.07
SUPPLIER A4,S010,A372,3.14,1.27,0.05
SUPPLIER A67,S059,A377,2.17,1.2,0.05
SUPPLIER A65,S007,A330,2.5,1.37,0.06
SUPPLIER A9,S011,A330,2.01,1.41,0.04
SUPPLIER AA,S048,A404,1.42,1.6,0.05
SUPPLIER A38,S051,A362,1.71,1.37,0.01
SUPPLIER A49,S025,A361,1.45,1.32,0.04
SUPPLIER A12,S028,A344,1.55,1.36,0.04
XYZ,S047,A377,2.84,1.27,0.06
SUPPLIER A43,S078,A378,2.36,1.49,0.03
SUPPLIER A27,S053,A368,1.22,1.66,0.07
SUPPLIER A34,S054,A340,1.4,1.31,0.03
SUPPLIER A59,S059,A361,1.6,1.2,-0.02
SUPPLIER A19,S072,A372,1.22,1.79,0.04
SUPPLIER A50,S013,A400,1.81,1.39,0.04
SUPPLIER A15,S052,A359,2.09,1.33,0.08
SUPPLIER A58,S057,A347,1.52,1.2,0.06
SUPPLIER A28,S059,A345,2.19,1.52,-0.03
SUPPLIER A6,S025,A408,1.64,1.42,0.07
SUPPLIER A63,S076,A347,1.41,1.2,-0.02
SUPPLIER A18,S043,A401,2.57,1.39,0.06
SUPPLIER AB,S052,A346,1.67,1.2,0.02
SUPPLIER A62,S061,A361,1.97,1.27,0.05
SUPPLIER E,S038,A370,2.44,1.53,0.07
SUPPLIER A31,S001,A341,2.29,1.54,0.08
SUPPLIER A17,S079,A397,1.63,1.2,0.06
TOP DIE CASTING,S001,A343,1.63,1.61,-0.03
TOP DIE CASTING,S088,A351,1.53,1.2,0.04
SUPPLIER A19,S012,A350,2.2,1.55,0.04
SUPPLIER A62,S087,A414,2.22,1.4,0.07
SUPPLIER A70,S011,A366,1.61,1.31,0.06
SUPPLIER A63,S057,A380,1.83,1.48,0.06
SUPPLIER A31,S047,A330,2.19,1.4,0.06
SUPPLIER C,S028,A371,1.49,1.42,0.04
SUPPLIER A26,S043,A370,1.44,1.53,0.06
SUPPLIER A10,S024,A415,1.72,1.22,0.04
SUPPLIER A33,S007,A340,2.37,1.22,0.0
SUPPLIER A39,S072,A400,1.71,1.34,0.06
ALOY MASTERS,S053,A400,3.14,1.29,0.04
SUPPLIER F,S077,A343,1.84,1.41,-0.01
SUPPLIER A19,S086,A380,1.21,1.27,0.06
SUPPLIER A44,S009,A410,1.66,1.37,0.03
SUPPLIER A15,S048,A368,1.87,1.61,-0.01
SUPPLIER A33,S068,A350,1.48,1.48,0.08
SUPPLIER A55,S025,A372,2.35,1.2,0.03
SUPPLIER A32,S071,A414,3.14,1.62,0.03
SUPPLIER A61,S026,A367,2.29,1.21,0.06
SUPPLIER A68,S027,A350,2.31,1.52,0.03
SUPPLIER A67,S085,A404,1.68,1.24,0.04
SUPPLIER A43,S075,A415,2.02,1.2,0.02
SUPPLIER A72,S001,A351,1.61,1.82,0.06
XYZ,S032,A371,1.53,1.86,0.04
SUPPLIER A46,S037,A400,3.14,1.28,0.02
SUPPLIER A33,S016,A350,1.74,1.37,0.06
SUPPLIER D,S021,A344,2.37,1.23,0.01
