Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change
SUPPLIER A58,S021,A101,1.72,1.34,-0.01
SUPPLIER A27,S072,A330,1.38,1.99,-0.03
SUPPLIER A21,S051,A374,1.72,1.2,0.02
STRONG ALLOY,S090,A340,1.34,1.54,-0.02
SUPPLIER H,S075,A344,1.41,2.13,-0.03
SUPPLIER A52,S071,A367,1.33,1.63,0.0
SUPPLIER A18,S085,A397,1.21,2.92,-0.03
SUPPLIER A24,S021,A346,2.37,1.33,0.02
SUPPLIER A59,S084,A360,1.57,1.36,0.01
SUPPLIER F,S021,A400,1.21,1.61,-0.0
SUPPLIER A2,S056,A330,1.21,1.61,-0.03
BLUE METAL,S073,A414,2.52,2.15,-0.01
SUPPLIER A61,S086,A341,1.74,1.43,0.01
SUPPLIER A73,S087,A397,1.22,1.31,-0.03
SUPPLIER A22,S016,A371,1.22,1.61,-0.02
XYZ,S024,A376,1.32,1.85,0.0
SUPPLIER A25,S028,A399,1.68,1.95,-0.03
SUPPLIER A61,S054,A101,1.42,1.56,-0.01
XYZ,S027,A330,1.21,1.6,0.04
SUPPLIER A64,S049,A330,1.35,2.13,0.03
SUPPLIER A66,S051,A407,1.25,2.34,-0.0
SUPPLIER A17,S088,A400,1.21,2.1,0.01
SUPPLIER A61,S030,A368,1.58,2.23,-0.03
SUPPLIER A50,S025,A415,1.35,1.48,0.05
SUPPLIER A53,S073,A345,1.23,1.69,-0.03
SUPPLIER A10,S007,A341,1.6,2.01,-0.0
SUPPLIER A25,S068,A391,1.72,1.67,0.01
SUPPLIER A70,S063,A346,1.27,1.42,-0.0
SUPPLIER AA,S066,A398,1.27,2.12,0.0
SUPPLIER A72,S022,A374,1.47,1.49,-0.01
SUPPLIER A5,S053,A405,1.39,1.28,-0.03
SUPPLIER B,S044,A368,1.37,1.63,-0.03
SUPPLIER A8,S013,A377,1.95,1.48,0.0
BLUE METAL,S046,A360,1.58,2.14,-0.03
SUPPLIER A61,S042,A407,1.21,1.68,-0.03
SUPPLIER A52,S084,A347,1.37,1.43,0.01
SUPPLIER A57,S093,A340,1.26,2.3,0.03
SUPPLIER A65,S053,A402,1.41,1.44,-0.03
ABC Supplier,S092,A404,3.14,1.55,-0.03
SUPPLIER AC,S063,A346,1.21,3.16,-0.03
SUPPLIER A5,S018,A375,3.14,1.85,-0.03
SUPPLIER A1,S009,A386,1.33,1.5,0.03
ALOY MASTERS,S046,A409,2.75,3.16,-0.03
SUPPLIER A62,S028,A404,1.46,1.53,-0.01
SUPPLIER A38,S072,A347,1.33,1.61,-0.02
TOP DIE CASTING,S009,A412,1.21,1.52,0.02
XYZ,S066,A393,1.27,1.47,0.0
SUPPLIER A48,S093,A410,1.67,1.83,-0.03
SUPPLIER G,S001,A330,1.4,1.54,-0.01
SUPPLIER A17,S090,A400,1.52,1.57,0.01
SUPPLIER A18,S082,A403,1.44,1.79,0.16
SUPPLIER F,S037,A400,1.42,1.47,-0.02
SUPPLIER A62,S035,A366,1.24,1.2,0.01
SUPPLIER A35,S038,A385,2.33,1.73,0.01
SUPPLIER A1,S014,A352,1.27,1.85,0.01
SUPPLIER A53,S024,B747,1.37,1.73,-0.01
SUPPLIER A44,S080,A404,1.33,1.65,-0.0
SUPPLIER A43,S086,A374,2.92,1.67,-0.03
SUPPLIER A12,S026,A345,1.27,1.63,-0.03
SUPPLIER A66,S045,A359,1.21,1.55,0.02
ALOY MASTERS,S046,A375,1.21,1.45,0.0
TOP DIE CASTING,S038,A354,1.24,2.19,-0.03
SUPPLIER A4,S001,A330,1.21,1.73,0.01
