Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change
XYZ,S064,A351,2.16,1.24,0.05
ABC Supplier,S088,A393,1.8,1.41,0.03
SUPPLIER A15,S024,A340,1.61,1.32,0.04
SUPPLIER A44,S082,A386,2.25,1.56,0.08
SUPPLIER A58,S087,A362,2.48,1.45,0.01
SUPPLIER C,S027,A380,1.62,1.2,0.06
SUPPLIER A55,S035,A376,1.76,1.27,0.03
SUPPLIER A23,S050,A320,1.59,1.29,0.01
SUPPLIER A24,S032,A390,1.98,1.48,0.02
BLUE METAL,S051,A359,2.4,1.39,0.07
SUPPLIER A54,S011,A393,2.41,1.2,0.01
SUPPLIER A8,S052,A351,2.2,1.2,0.05
STRONG ALLOY,S059,A380,1.64,1.2,0.06
SUPPLIER A51,S085,A357,1.63,1.3,0.07
SUPPLIER AB,S041,A375,1.63,1.29,0.06
SUPPLIER A35,S093,A398,3.14,1.58,0.01
TOP DIE CASTING,S008,A396,1.28,1.38,0.06
BLUE METAL,S038,A407,3.14,1.2,0.05
SUPPLIER A55,S026,A101,2.18,1.43,0.04
SUPPLIER A41,S020,A343,2.07,1.91,0.03
SUPPLIER A51,S014,A409,2.08,1.47,0.05
SUPPLIER A67,S061,A408,1.57,1.48,0.06
SUPPLIER A26,S057,A371,1.68,1.2,0.03
SUPPLIER A25,S037,A360,1.94,1.2,0.02
SUPPLIER A61,S026,A383,3.09,1.54,0.07
SUPPLIER A24,S056,A377,2.34,1.4,0.04
SUPPLIER AA,S037,A392,1.77,1.2,0.01
SUPPLIER A63,S006,A340,1.67,1.34,0.04
SUPPLIER A10,S053,A352,1.92,1.39,0.04
SUPPLIER A28,S055,A400,1.55,1.52,0.06
SUPPLIER A53,S069,A375,2.2,1.32,0.01
SUPPLIER A9,S077,A386,1.63,1.25,0.03
TOP DIE CASTING,S092,A397,2.14,1.27,0.04
SUPPLIER C,S038,A361,3.14,1.72,0.03
TOP DIE CASTING,S021,A405,1.53,1.56,0.04
SUPPLIER AC,S039,A369,2.42,1.48,0.04
SUPPLIER A39,S088,B747,1.8,1.25,0.03
SUPPLIER A68,S042,A403,1.61,1.4,0.03
SUPPLIER A34,S086,A412,2.52,1.51,0.03
SUPPLIER H,S061,A399,2.25,1.49,0.01
TOP DIE CASTING,S088,A404,1.47,1.38,0.06
SUPPLIER G,S017,A391,2.17,1.29,0.02
SUPPLIER A26,S046,A400,1.3,1.36,-0.03
SUPPLIER A59,S041,A380,1.77,1.56,0.05
TOP DIE CASTING,S058,A369,1.73,3.05,0.05
SUPPLIER A34,S015,A394,2.18,1.28,0.04
SUPPLIER A70,S049,A400,2.92,1.38,0.03
SUPPLIER A32,S056,A393,1.97,1.72,0.02
SUPPLIER A53,S059,A407,2.14,1.41,0.03
TOP DIE CASTING,S013,A406,1.62,1.3,0.03
SUPPLIER A26,S077,A406,2.17,1.5,0.07
SUPPLIER A57,S006,A359,1.63,1.34,0.05
SUPPLIER A12,S059,A357,3.14,1.2,0.02
SUPPLIER AC,S063,A359,1.58,1.31,0.05
SUPPLIER A31,S092,A409,1.39,1.23,0.04
SUPPLIER A15,S054,A359,2.13,1.39,0.03
SUPPLIER A61,S087,A340,2.08,1.23,0.07
SUPPLIER A66,S053,A373,1.44,1.41,0.04
SUPPLIER A22,S074,A396,1.69,1.28,0.04
SUPPLIER A25,S064,A407,2.24,1.25,0.05
SUPPLIER A50,S010,A409,1.48,1.5,0.01
