user_id,country,gender,age
100,BG,F,50
101,ES,F,39
102,US,M,24
103,ES,M,29
104,UK,M,26
105,ES,M,28
106,ES,,26
107,BG,M,48
108,US,F,22
109,DE,M,22
110,UK,M,23
111,BG,F,43
112,BG,F,28
113,FR,M,57
114,UK,F,57
115,UK,M,43
116,BG,M,39
117,BG,F,57
118,UK,F,22
119,ES,F,26
120,US,M,34
121,UK,F,33
122,US,M,41
123,FR,M,31
124,US,F,40
125,ES,,27
126,US,F,37
127,US,M,42
128,ES,M,31
129,US,F,30
130,DE,F,37
131,DE,F,40
132,UK,,22
133,US,M,32
134,ES,F,32
135,ES,M,29
136,ES,F,33
137,BG,M,57
138,BG,F,38
139,UK,F,50
140,FR,M,33
141,ES,F,22
142,UK,F,35
143,FR,F,49
144,BG,F,33
145,ES,,29
146,US,F,29
147,BG,M,45
148,FR,F,46
149,UK,M,34
150,US,F,29
151,BG,,44
152,ES,F,22
153,ES,F,33
154,ES,F,29
155,UK,M,57
156,ES,F,28
157,ES,F,26
158,ES,M,32
159,UK,F,44
160,US,F,43
161,ES,,22
162,ES,F,29
163,UK,F,51
164,US,F,35
165,ES,,41
166,ES,F,22
167,US,,39
168,US,F,44
169,UK,F,23
170,FR,F,52
171,BG,F,28
172,UK,,28
173,US,M,34
174,ES,F,22
175,ES,F,46
176,ES,M,22
177,BG,F,50
178,US,M,45
179,ES,M,36
180,US,F,44
181,ES,F,37
182,ES,,44
183,FR,M,56
184,ES,F,35
185,FR,F,30
186,ES,F,29
187,UK,M,29
188,DE,F,55
189,BG,F,28
190,UK,M,36
191,US,M,46
192,BG,F,42
193,BG,M,46
194,UK,,50
195,BG,,43
196,ES,,22
197,US,M,33
198,FR,M,57
199,FR,M,22
200,ES,F,32
201,UK,F,32
202,UK,F,57
203,US,,30
204,ES,,38
205,FR,M,57
206,US,F,23
207,ES,M,22
208,ES,M,30
209,ES,M,40
210,US,F,32
211,UK,,38
212,ES,M,22
213,BG,M,38
214,ES,,39
215,US,M,31
216,US,M,49
217,UK,F,35
218,ES,M,46
219,US,,38
220,US,,39
221,ES,M,33
222,ES,,48
223,UK,,36
224,DE,,57
225,BG,F,31
226,UK,F,47
227,ES,F,33
228,DE,F,30
229,ES,F,38
230,ES,,57
231,ES,M,57
232,UK,M,37
233,FR,F,22
234,US,M,54
235,UK,M,44
236,UK,M,36
237,US,M,26
238,ES,,51
239,DE,F,39
240,UK,F,41
241,UK,F,23
242,ES,,34
243,BG,M,34
244,ES,,28
245,UK,M,26
246,UK,F,22
247,US,F,44
248,UK,,22
249,BG,M,31
250,DE,M,34
251,BG,M,42
252,US,M,50
253,UK,M,32
254,US,F,24
255,UK,,41
256,US,F,57
257,BG,F,47
258,ES,F,35
259,FR,,22
260,DE,F,35
261,BG,M,46
262,US,F,40
263,BG,M,27
264,ES,,40
265,ES,F,39
266,BG,M,57
267,BG,F,32
268,FR,M,25
269,FR,F,32
270,ES,M,36
271,UK,M,22
272,ES,M,32
273,DE,,50
274,UK,,32
275,UK,M,36
276,UK,,22
277,ES,M,51
278,BG,,43
279,BG,M,50
280,ES,F,22
281,US,F,36
282,ES,F,31
283,FR,,40
284,US,M,48
285,US,,41
286,US,,22
287,US,M,34
288,ES,M,24
289,US,F,41
290,ES,F,22
291,ES,F,35
292,ES,,52
293,DE,F,36
294,FR,F,52
295,DE,F,50
296,UK,,28
297,US,,36
298,UK,M,28
299,DE,,48
300,FR,F,26
301,ES,F,22
302,BG,F,43
303,US,M,37
304,UK,M,33
305,US,M,37
306,DE,F,41
307,BG,,34
308,ES,M,23
309,ES,M,36
310,US,,40
311,BG,F,41
312,US,F,47
313,US,F,43
314,UK,,26
315,US,M,51
316,US,F,32
317,ES,,39
318,BG,,51
319,UK,,36
320,DE,M,43
321,FR,,48
322,FR,,47
323,ES,M,39
324,ES,M,29
325,ES,,45
326,UK,M,29
327,FR,,22
328,DE,F,38
329,UK,,56
330,BG,M,51
331,ES,F,23
332,UK,,42
333,US,M,25
334,ES,F,22
335,US,M,31
336,BG,,23
337,DE,F,43
338,BG,F,51
339,ES,M,52
340,US,M,30
341,FR,,54
342,FR,F,44
343,FR,,43
344,BG,M,36
345,UK,F,23
346,DE,F,33
347,DE,,32
348,UK,,33
349,FR,F,25
350,UK,F,34
351,US,F,40
352,UK,F,57
353,ES,,51
354,DE,M,22
355,UK,,42
356,ES,,35
357,BG,F,36
358,BG,,29
359,ES,F,22
360,ES,F,42
361,US,M,22
362,UK,M,24
363,US,F,32
364,US,M,36
365,ES,F,34
