session_id,user_id,device,os,minutes
107,100,mobile,android,18
108,100,mobile,android,14
109,100,mobile,android,27
110,101,tablet,ios,21
111,101,mobile,ios,7
112,103,tablet,ios,26
113,103,tablet,ios,13
114,106,tablet,ios,17
115,110,mobile,android,22
116,111,mobile,ios,8
117,111,tablet,ios,15
118,112,tablet,android,24
119,112,tablet,ios,26
120,113,mobile,android,34
121,114,mobile,ios,22
122,114,mobile,ios,24
123,114,mobile,ios,15
124,115,mobile,android,7
125,115,tablet,ios,9
126,116,mobile,android,25
127,116,tablet,ios,34
128,117,tablet,ios,15
129,118,tablet,ios,7
130,118,tablet,ios,18
131,119,tablet,android,21
132,119,tablet,android,20
133,120,mobile,ios,28
134,121,tablet,ios,9
135,121,tablet,android,7
136,122,tablet,ios,20
137,123,tablet,ios,9
138,124,mobile,android,23
139,124,tablet,ios,22
140,125,tablet,ios,13
141,127,tablet,android,15
142,128,tablet,android,24
143,128,tablet,android,29
144,129,mobile,android,25
145,130,mobile,ios,7
146,130,tablet,ios,25
147,131,tablet,ios,20
148,133,mobile,ios,25
149,134,tablet,ios,10
150,134,tablet,android,9
151,137,mobile,android,21
152,138,tablet,ios,12
153,139,mobile,ios,17
154,139,mobile,ios,7
155,139,mobile,ios,7
156,140,tablet,android,27
157,141,tablet,ios,23
158,143,mobile,ios,34
159,144,mobile,ios,14
160,146,tablet,ios,13
161,148,mobile,ios,20
162,148,mobile,ios,23
163,149,mobile,ios,11
164,150,tablet,ios,34
165,151,mobile,ios,29
166,154,tablet,android,12
167,154,mobile,android,7
168,155,mobile,android,30
169,155,tablet,ios,27
170,157,tablet,ios,23
171,157,tablet,ios,28
172,158,mobile,android,11
173,158,tablet,ios,12
174,159,mobile,ios,19
175,160,mobile,android,22
176,160,tablet,android,18
177,160,tablet,ios,25
178,162,tablet,android,23
179,163,mobile,ios,29
180,164,mobile,android,15
181,166,tablet,android,20
182,168,tablet,ios,21
183,168,mobile,ios,7
184,170,tablet,android,34
185,170,mobile,android,14
186,171,tablet,ios,34
187,173,mobile,ios,24
188,174,tablet,android,27
189,175,mobile,ios,11
190,175,mobile,android,11
191,177,mobile,android,15
192,177,mobile,ios,18
193,178,mobile,ios,10
194,180,mobile,ios,14
195,180,mobile,android,16
196,182,mobile,android,11
197,182,mobile,android,7
198,183,mobile,ios,27
199,183,tablet,ios,26
200,185,mobile,ios,15
201,186,mobile,ios,12
202,188,mobile,ios,25
203,189,tablet,ios,28
204,192,mobile,ios,17
205,192,mobile,android,24
206,192,tablet,ios,30
207,193,mobile,android,16
208,193,mobile,android,24
209,194,mobile,android,13
210,195,mobile,android,23
211,198,mobile,ios,16
212,198,tablet,android,18
213,199,tablet,ios,13
214,200,mobile,ios,7
215,200,mobile,android,13
216,202,tablet,ios,27
217,205,tablet,ios,27
218,206,mobile,android,21
219,210,tablet,ios,24
220,215,mobile,android,16
221,217,tablet,android,10
222,218,mobile,ios,12
223,219,mobile,android,30
224,221,mobile,android,18
225,222,tablet,ios,11
226,224,tablet,android,22
227,225,tablet,ios,24
228,226,mobile,android,32
229,226,tablet,android,34
230,227,tablet,android,10
231,228,tablet,ios,13
232,230,tablet,android,34
233,231,tablet,android,34
234,231,mobile,android,34
235,232,mobile,android,17
236,232,tablet,android,20
237,233,tablet,android,13
238,233,tablet,ios,12
239,234,tablet,android,34
240,237,tablet,android,31
241,239,tablet,android,28
242,239,mobile,android,33
243,240,mobile,android,34
244,242,tablet,android,7
245,243,mobile,ios,26
246,243,mobile,ios,22
247,246,tablet,ios,19
248,246,tablet,ios,7
249,247,mobile,ios,27
250,249,mobile,android,26
251,249,mobile,android,16
252,250,tablet,android,7
253,250,tablet,ios,11
254,250,tablet,ios,19
255,251,tablet,android,32
256,252,mobile,ios,29
257,253,mobile,ios,15
258,254,tablet,android,26
259,255,mobile,ios,8
260,256,mobile,ios,7
261,256,mobile,ios,18
262,257,mobile,ios,19
263,260,mobile,ios,28
264,261,mobile,ios,17
265,261,mobile,android,15
266,262,tablet,ios,25
267,263,tablet,ios,22
268,264,mobile,ios,14
269,264,tablet,ios,13
270,266,tablet,ios,25
271,267,mobile,android,10
272,267,tablet,android,22
273,268,mobile,ios,10
274,269,tablet,ios,34
275,272,mobile,ios,15
276,273,tablet,ios,7
277,273,mobile,ios,25
278,274,tablet,android,11
279,275,tablet,android,26
280,277,mobile,android,7
281,279,mobile,ios,11
282,280,tablet,android,29
283,280,tablet,ios,31
284,281,tablet,android,27
285,281,tablet,ios,31
286,282,tablet,ios,14
287,283,mobile,ios,32
288,284,mobile,android,21
289,286,tablet,android,12
290,289,mobile,ios,15
291,290,tablet,ios,17
292,290,tablet,android,27
293,291,tablet,android,17
294,292,mobile,android,24
295,294,mobile,ios,22
296,294,mobile,android,25
297,295,tablet,android,17
298,295,mobile,ios,25
299,297,mobile,android,30
300,299,mobile,android,31
301,300,tablet,android,27
302,300,tablet,ios,25
303,300,tablet,ios,30
304,302,tablet,ios,22
305,304,tablet,android,8
306,306,tablet,android,26
307,306,mobile,android,33
308,307,tablet,ios,24
309,307,tablet,ios,25
310,308,mobile,ios,31
311,309,mobile,android,24
312,310,mobile,android,21
313,311,mobile,android,12
314,312,tablet,ios,33
315,313,mobile,android,7
316,315,mobile,ios,20
317,316,mobile,android,25
318,316,tablet,android,23
319,317,mobile,ios,14
320,317,tablet,android,15
321,318,mobile,android,7
322,318,mobile,android,7
323,320,mobile,ios,23
324,321,mobile,ios,12
325,322,tablet,ios,14
326,322,mobile,ios,16
327,324,mobile,android,15
328,325,mobile,ios,20
329,326,tablet,android,18
330,327,tablet,android,16
331,328,tablet,ios,29
332,329,mobile,ios,34
333,330,mobile,android,15
334,330,tablet,ios,27
335,331,mobile,android,14
336,332,mobile,android,11
337,333,tablet,ios,24
338,334,mobile,android,21
339,336,tablet,android,24
340,336,tablet,android,18
341,336,tablet,ios,21
342,337,tablet,android,34
343,337,tablet,android,27
344,338,mobile,ios,18
345,338,mobile,android,34
346,339,mobile,ios,18
347,340,tablet,ios,12
348,341,mobile,android,31
