Epoch 1, Loss G:  4.3941,Loss D:  0.0100
Epoch 2, Loss G:  4.4731,Loss D:  0.0048
Epoch 3, Loss G:  4.4864,Loss D: -0.0204
Epoch 4, Loss G:  4.3507,Loss D: -0.0083
Epoch 5, Loss G:  4.3530,Loss D: -0.0143
Epoch 6, Loss G:  4.4662,Loss D:  0.0023
Epoch 7, Loss G:  4.4306,Loss D: -0.0244
Epoch 8, Loss G:  4.3697,Loss D:  0.0114
Epoch 9, Loss G:  4.3386,Loss D: -0.0389
Epoch 10, Loss G:  4.4406,Loss D: -0.0654
Epoch 11, Loss G:  4.4382,Loss D: -0.0654
Epoch 12, Loss G:  4.3477,Loss D: -0.0656
Epoch 13, Loss G:  4.3715,Loss D: -0.0739
Epoch 14, Loss G:  4.2875,Loss D: -0.0775
Epoch 15, Loss G:  4.4031,Loss D: -0.0855
Epoch 16, Loss G:  4.3777,Loss D: -0.0924
Epoch 17, Loss G:  4.2987,Loss D: -0.0422
Epoch 18, Loss G:  4.3025,Loss D: -0.0769
Epoch 19, Loss G:  4.2351,Loss D: -0.1412
Epoch 20, Loss G:  4.1916,Loss D: -0.0381
Epoch 21, Loss G:  4.1768,Loss D: -0.0807
Epoch 22, Loss G:  4.2459,Loss D: -0.0346
Epoch 23, Loss G:  4.2307,Loss D: -0.0259
Epoch 24, Loss G:  4.1650,Loss D:  0.0077
Epoch 25, Loss G:  4.1763,Loss D:  0.0318
Epoch 26, Loss G:  4.1370,Loss D: -0.0716
Epoch 27, Loss G:  4.2238,Loss D: -0.0072
Epoch 28, Loss G:  4.1881,Loss D: -0.0536
Epoch 29, Loss G:  4.2865,Loss D: -0.0610
Epoch 30, Loss G:  4.1075,Loss D:  0.0305
Epoch 31, Loss G:  4.2052,Loss D:  0.0251
Epoch 32, Loss G:  4.2073,Loss D:  0.0056
Epoch 33, Loss G:  4.1373,Loss D:  0.0474
Epoch 34, Loss G:  4.2203,Loss D: -0.0198
Epoch 35, Loss G:  4.1276,Loss D:  0.0014
Epoch 36, Loss G:  4.2363,Loss D: -0.0547
Epoch 37, Loss G:  4.2826,Loss D: -0.0596
Epoch 38, Loss G:  4.0751,Loss D: -0.0717
Epoch 39, Loss G:  4.0676,Loss D: -0.0150
Epoch 40, Loss G:  4.1090,Loss D: -0.0228
Epoch 41, Loss G:  4.1254,Loss D: -0.0334
Epoch 42, Loss G:  4.1599,Loss D:  0.0244
Epoch 43, Loss G:  4.2082,Loss D: -0.1084
Epoch 44, Loss G:  4.1068,Loss D:  0.0602
Epoch 45, Loss G:  4.1244,Loss D:  0.0017
Epoch 46, Loss G:  4.0352,Loss D: -0.0521
Epoch 47, Loss G:  4.1280,Loss D:  0.0737
Epoch 48, Loss G:  4.1413,Loss D: -0.0885
Epoch 49, Loss G:  4.1576,Loss D:  0.0997
Epoch 50, Loss G:  4.0894,Loss D: -0.0761
Epoch 51, Loss G:  4.1084,Loss D:  0.0826
Epoch 52, Loss G:  4.0651,Loss D:  0.0298
Epoch 53, Loss G:  4.1264,Loss D:  0.0415
Epoch 54, Loss G:  4.0597,Loss D:  0.0646
Epoch 55, Loss G:  4.1372,Loss D: -0.0361
Epoch 56, Loss G:  4.1399,Loss D:  0.0074
Epoch 57, Loss G:  3.9029,Loss D:  0.0719
Epoch 58, Loss G:  4.0351,Loss D:  0.0535
Epoch 59, Loss G:  4.0220,Loss D:  0.0223
Epoch 60, Loss G:  3.9859,Loss D:  0.0263
Epoch 61, Loss G:  4.1157,Loss D: -0.0025
Epoch 62, Loss G:  4.0898,Loss D:  0.0051
Epoch 63, Loss G:  4.0854,Loss D: -0.0296
Epoch 64, Loss G:  4.1878,Loss D: -0.0304
Epoch 65, Loss G:  4.1479,Loss D:  0.0337
Epoch 66, Loss G:  4.0033,Loss D:  0.0026
Epoch 67, Loss G:  4.0620,Loss D: -0.0290
Epoch 68, Loss G:  4.0101,Loss D:  0.0269
Epoch 69, Loss G:  4.0507,Loss D: -0.0470
Epoch 70, Loss G:  4.0616,Loss D:  0.0340
Epoch 71, Loss G:  4.1519,Loss D: -0.0139
Epoch 72, Loss G:  4.0604,Loss D:  0.0614
Epoch 73, Loss G:  4.0051,Loss D:  0.0504
Epoch 74, Loss G:  4.0691,Loss D: -0.0487
Epoch 75, Loss G:  4.0952,Loss D: -0.1268
Epoch 76, Loss G:  4.1893,Loss D: -0.0069
Epoch 77, Loss G:  4.0366,Loss D:  0.0202
Epoch 78, Loss G:  4.0777,Loss D:  0.0146
Epoch 79, Loss G:  4.0275,Loss D: -0.0354
Epoch 80, Loss G:  4.1522,Loss D:  0.0556
Epoch 81, Loss G:  4.0520,Loss D: -0.0399
Epoch 82, Loss G:  4.0393,Loss D:  0.0602
Epoch 83, Loss G:  4.0362,Loss D:  0.0122
Epoch 84, Loss G:  3.9614,Loss D:  0.0609
Epoch 85, Loss G:  4.0196,Loss D: -0.0320
Epoch 86, Loss G:  4.1312,Loss D:  0.1011
Epoch 87, Loss G:  4.0774,Loss D:  0.0535
Epoch 88, Loss G:  4.0982,Loss D:  0.0627
Epoch 89, Loss G:  4.0451,Loss D: -0.0525
Epoch 90, Loss G:  3.9783,Loss D:  0.0239
Epoch 91, Loss G:  3.9567,Loss D:  0.0008
Epoch 92, Loss G:  4.0832,Loss D:  0.0597
Epoch 93, Loss G:  3.9125,Loss D: -0.0033
Epoch 94, Loss G:  4.0282,Loss D: -0.0992
Epoch 95, Loss G:  4.1208,Loss D:  0.0809
Epoch 96, Loss G:  4.0108,Loss D:  0.0781
Epoch 97, Loss G:  4.0542,Loss D:  0.0532
Epoch 98, Loss G:  3.9806,Loss D:  0.0117
Epoch 99, Loss G:  4.0935,Loss D:  0.0438
Epoch 100, Loss G:  4.0928,Loss D:  0.0516
