Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change,Requested_Date,Period,Effective_Date,Year
TOP DIE CASTING,S001,A400,1.42,1.4,0.02,9/14/2011,4,10/1/2011,2011
TOP DIE CASTING,S001,A400,1.4,1.39,0.01,12/14/2011,1,1/1/2012,2012
TOP DIE CASTING,S001,A400,1.39,1.39,0,3/14/2012,2,4/1/2012,2012
TOP DIE CASTING,S001,A400,1.39,1.4,-0.01,6/14/2012,3,7/1/2012,2012
TOP DIE CASTING,S001,A400,1.4,1.41,-0.01,9/14/2012,4,10/1/2012,2012
TOP DIE CASTING,S001,A400,1.41,1.4,0.01,12/14/2012,1,1/1/2013,2013
TOP DIE CASTING,S001,A400,1.4,1.42,-0.02,3/14/2013,2,4/1/2013,2013
TOP DIE CASTING,S001,A400,1.42,1.41,0.01,6/14/2013,3,7/1/2013,2013
ABC Supplier,S002,A380,1.28,1.27,0.01,9/14/2013,4,10/1/2013,2013
XPZ Supp,S003,A372,1.78,1.76,0.02,3/14/2013,2,5/10/2016,2016
XYZ,S006,A101,1.8,1.78,0.02,3/14/2013,2,4/1/2013,2013
BLUE METAL,S007,A320,1.3,1.32,-0.02,6/14/2013,3,7/1/2013,2013
ALOY MASTERS,S008,A330,1.73,1.75,-0.02,9/14/2013,4,10/1/2013,2013
STRONG ALLOY,S009,A340,1.22,1.2,0.02,12/14/2012,1,1/1/2013,2013
SUPPLIER B,S010,A400,1.86,1.82,0.04,3/14/2013,2,4/1/2013,2013
SUPPLIER C,S011,A380,1.55,1.5,0.05,6/14/2013,3,7/1/2013,2013
SUPPLIER D,S012,A372,1.59,1.6,-0.01,9/14/2013,4,10/1/2013,2013
SUPPLIER E,S013,A400,1.32,1.28,0.04,12/14/2012,1,1/1/2013,2013
SUPPLIER F,S014,B747,1.44,1.42,0.02,3/14/2013,2,4/1/2013,2013
SUPPLIER G,S015,A101,1.59,1.62,-0.03,6/14/2013,3,7/1/2013,2013
SUPPLIER H,S016,A320,1.62,1.59,0.03,9/14/2013,4,10/1/2013,2013
SUPPLIER AB,S017,A330,1.82,1.8,0.02,12/14/2012,1,1/1/2013,2013
SUPPLIER AA,S018,A340,1.21,1.22,-0.01,3/14/2013,2,4/1/2013,2013
SUPPLIER AC,S019,A341,3.14,3.16,-0.02,6/14/2013,3,7/1/2013,2013
SUPPLIER AD,S020,A342,2.22,2.02,0.2,9/14/2013,4,10/1/2013,2013
SUPPLIER A1,S021,A343,2.02,2,0.02,12/14/2012,1,1/1/2013,2013
SUPPLIER A2,S022,A344,1.42,1.4,0.02,9/14/2011,4,10/1/2011,2011
SUPPLIER A3,S023,A345,1.4,1.39,0.01,12/14/2011,1,1/1/2012,2012
SUPPLIER A4,S024,A346,1.39,1.39,0,3/14/2012,2,4/1/2012,2012
SUPPLIER A5,S025,A347,1.39,1.4,-0.01,6/14/2012,3,7/1/2012,2012
SUPPLIER A6,S026,A348,1.4,1.41,-0.01,9/14/2012,4,10/1/2012,2012
SUPPLIER A7,S027,A349,1.41,1.4,0.01,12/14/2012,1,1/1/2013,2013
SUPPLIER A8,S028,A350,1.4,1.42,-0.02,3/14/2013,2,4/1/2013,2013
SUPPLIER A9,S029,A351,1.42,1.41,0.01,6/14/2013,3,7/1/2013,2013
SUPPLIER A10,S030,A352,1.28,1.27,0.01,9/14/2013,4,10/1/2013,2013
SUPPLIER A12,S032,A354,1.78,1.76,0.02,3/14/2013,2,5/10/2016,2016
SUPPLIER A15,S035,A357,1.8,1.78,0.02,3/14/2013,2,4/1/2013,2013
SUPPLIER A17,S037,A359,1.73,1.75,-0.02,9/14/2013,4,10/1/2013,2013
SUPPLIER A18,S038,A360,1.22,1.2,0.02,12/14/2012,1,1/1/2013,2013
SUPPLIER A19,S039,A361,1.86,1.82,0.04,3/14/2013,2,4/1/2013,2013
SUPPLIER A20,S040,A362,1.55,1.5,0.05,6/14/2013,3,7/1/2013,2013
SUPPLIER A21,S041,A363,1.59,1.6,-0.01,9/14/2013,4,10/1/2013,2013
SUPPLIER A22,S042,A364,1.32,1.28,0.04,12/14/2012,1,1/1/2013,2013
SUPPLIER A23,S043,A365,1.44,1.42,0.02,3/14/2013,2,4/1/2013,2013
SUPPLIER A24,S044,A366,1.59,1.62,-0.03,6/14/2013,3,7/1/2013,2013
SUPPLIER A25,S045,A367,1.62,1.59,0.03,9/14/2013,4,10/1/2013,2013
SUPPLIER A26,S046,A368,1.82,1.8,0.02,12/14/2012,1,1/1/2013,2013
SUPPLIER A27,S047,A369,1.21,1.22,-0.01,3/14/2013,2,4/1/2013,2013
SUPPLIER A28,S048,A370,3.14,3.16,-0.02,6/14/2013,3,7/1/2013,2013
SUPPLIER A29,S049,A371,2.22,2.02,0.2,9/14/2013,4,10/1/2013,2013
SUPPLIER A30,S050,A372,2.02,2,0.02,12/14/2012,1,1/1/2013,2013
SUPPLIER A31,S051,A373,1.42,1.4,0.02,9/14/2011,4,10/1/2011,2011
SUPPLIER A32,S052,A374,1.4,1.39,0.01,12/14/2011,1,1/1/2012,2012
SUPPLIER A33,S053,A375,1.39,1.39,0,3/14/2012,2,4/1/2012,2012
SUPPLIER A34,S054,A376,1.39,1.4,-0.01,6/14/2012,3,7/1/2012,2012
SUPPLIER A35,S055,A377,1.4,1.41,-0.01,9/14/2012,4,10/1/2012,2012
SUPPLIER A36,S056,A378,1.41,1.4,0.01,12/14/2012,1,1/1/2013,2013
SUPPLIER A37,S057,A379,1.4,1.42,-0.02,3/14/2013,2,4/1/2013,2013
SUPPLIER A38,S058,A380,1.42,1.41,0.01,6/14/2013,3,7/1/2013,2013
SUPPLIER A39,S059,A381,1.28,1.27,0.01,9/14/2013,4,10/1/2013,2013
SUPPLIER A41,S061,A383,1.78,1.76,0.02,3/14/2013,2,5/10/2016,2016
SUPPLIER A43,S063,A385,1.56,1.54,0.02,12/14/2012,1,1/1/2013,2013
SUPPLIER A44,S064,A386,1.8,1.78,0.02,3/14/2013,2,4/1/2013,2013
SUPPLIER A46,S066,A388,1.73,1.75,-0.02,9/14/2013,4,10/1/2013,2013
SUPPLIER A48,S068,A390,1.86,1.82,0.04,3/14/2013,2,4/1/2013,2013
SUPPLIER A49,S069,A391,1.55,1.5,0.05,6/14/2013,3,7/1/2013,2013
SUPPLIER A50,S070,A392,1.59,1.6,-0.01,9/14/2013,4,10/1/2013,2013
SUPPLIER A51,S071,A393,1.32,1.28,0.04,12/14/2012,1,1/1/2013,2013
SUPPLIER A52,S072,A394,1.44,1.42,0.02,3/14/2013,2,4/1/2013,2013
SUPPLIER A53,S073,A395,1.59,1.62,-0.03,6/14/2013,3,7/1/2013,2013
SUPPLIER A54,S074,A396,1.62,1.59,0.03,9/14/2013,4,10/1/2013,2013
SUPPLIER A55,S075,A397,1.82,1.8,0.02,12/14/2012,1,1/1/2013,2013
SUPPLIER A56,S076,A398,1.21,1.22,-0.01,3/14/2013,2,4/1/2013,2013
SUPPLIER A57,S077,A399,3.14,3.16,-0.02,6/14/2013,3,7/1/2013,2013
SUPPLIER A58,S078,A400,2.22,2.02,0.2,9/14/2013,4,10/1/2013,2013
SUPPLIER A59,S079,A401,2.02,2,0.02,12/14/2012,1,1/1/2013,2013
SUPPLIER A60,S080,A402,1.42,1.4,0.02,9/14/2011,4,10/1/2011,2011
SUPPLIER A61,S081,A403,1.4,1.39,0.01,12/14/2011,1,1/1/2012,2012
SUPPLIER A62,S082,A404,1.39,1.39,0,3/14/2012,2,4/1/2012,2012
SUPPLIER A63,S083,A405,1.39,1.4,-0.01,6/14/2012,3,7/1/2012,2012
SUPPLIER A64,S084,A406,1.4,1.41,-0.01,9/14/2012,4,10/1/2012,2012
SUPPLIER A65,S085,A407,1.41,1.4,0.01,12/14/2012,1,1/1/2013,2013
SUPPLIER A66,S086,A408,1.4,1.42,-0.02,3/14/2013,2,4/1/2013,2013
SUPPLIER A67,S087,A409,1.42,1.41,0.01,6/14/2013,3,7/1/2013,2013
SUPPLIER A68,S088,A410,1.28,1.27,0.01,9/14/2013,4,10/1/2013,2013
SUPPLIER A70,S090,A412,1.78,1.76,0.02,3/14/2013,2,5/10/2016,2016
SUPPLIER A72,S092,A414,1.56,1.54,0.02,12/14/2012,1,1/1/2013,2013
SUPPLIER A73,S093,A415,1.8,1.78,0.02,3/14/2013,2,4/1/2013,2013
