Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change,Requested_Date,Period,Effective_Date,Year
TOP DIE CASTING,S072,A330,3.14,1.24,0.06,2012-07-31 00:00:00,1,2012-01-18 00:00:00,2013
SUPPLIER A50,S055,A347,2.09,1.29,0.2,2013-07-03 00:00:00,1,2013-09-16 00:00:00,2011
SUPPLIER A17,S003,A347,1.43,1.38,0.02,2013-02-06 00:00:00,1,2013-04-18 00:00:00,2011
SUPPLIER AA,S049,A380,2.23,1.2,0.06,2013-04-25 00:00:00,3,2013-04-24 00:00:00,2013
SUPPLIER E,S020,A377,1.76,1.29,0.07,2013-05-01 00:00:00,2,2012-12-13 00:00:00,2011
SUPPLIER G,S073,A349,1.6,1.23,0.03,2012-09-05 00:00:00,4,2012-10-15 00:00:00,2013
SUPPLIER F,S019,A379,1.54,1.66,0.2,2012-09-10 00:00:00,1,2013-04-21 00:00:00,2013
SUPPLIER A3,S078,A344,1.35,1.22,0.07,2013-01-03 00:00:00,1,2013-09-13 00:00:00,2013
ABC Supplier,S087,A340,1.54,1.4,0.12,2012-09-18 00:00:00,4,2013-09-17 00:00:00,2013
SUPPLIER A17,S008,A404,1.94,1.49,0.18,2013-01-11 00:00:00,3,2013-03-29 00:00:00,2012
SUPPLIER A36,S017,A368,1.44,1.2,0.04,2012-05-03 00:00:00,3,2012-12-07 00:00:00,2015
SUPPLIER A43,S063,A363,1.71,1.66,0.03,2013-04-12 00:00:00,4,2013-02-04 00:00:00,2013
SUPPLIER AD,S068,A340,1.58,1.2,0.15,2012-05-15 00:00:00,3,2011-12-25 00:00:00,2013
SUPPLIER A7,S006,A391,1.3,1.84,0.04,2013-01-10 00:00:00,2,2013-10-03 00:00:00,2013
SUPPLIER A58,S064,A407,1.32,1.2,0.06,2012-09-09 00:00:00,2,2014-03-03 00:00:00,2013
SUPPLIER A72,S001,A388,1.72,1.2,0.04,2012-07-19 00:00:00,2,2013-01-17 00:00:00,2013
SUPPLIER A48,S014,A388,1.52,1.37,0.01,2012-10-26 00:00:00,2,2019-03-16 00:00:00,2013
SUPPLIER A26,S086,A395,2.03,1.2,0.08,2011-11-22 00:00:00,3,2013-12-21 00:00:00,2011
SUPPLIER A56,S006,A381,1.68,1.27,0.06,2012-07-05 00:00:00,3,2012-03-30 00:00:00,2013
SUPPLIER A3,S069,A359,1.68,1.2,0.03,2012-09-07 00:00:00,4,2013-04-29 00:00:00,2013
SUPPLIER A20,S086,A381,1.65,1.26,0.2,2012-09-14 00:00:00,4,2013-04-20 00:00:00,2013
SUPPLIER A7,S059,A372,1.51,1.65,0.03,2013-04-21 00:00:00,2,2013-06-14 00:00:00,2013
SUPPLIER A68,S026,A365,1.56,1.38,0.05,2012-09-30 00:00:00,3,2013-01-07 00:00:00,2015
SUPPLIER A46,S043,A371,1.76,1.21,0.0,2013-01-24 00:00:00,3,2013-07-20 00:00:00,2013
SUPPLIER A68,S015,A351,1.95,1.24,0.04,2012-04-27 00:00:00,4,2013-04-05 00:00:00,2013
SUPPLIER A33,S024,A405,1.73,1.2,0.07,2012-09-04 00:00:00,4,2013-06-22 00:00:00,2013
SUPPLIER A72,S083,A357,1.6,1.2,0.07,2011-11-29 00:00:00,4,2013-07-14 00:00:00,2013
SUPPLIER A15,S008,A371,2.06,1.21,0.06,2012-10-26 00:00:00,2,2012-08-28 00:00:00,2013
SUPPLIER A39,S044,A367,1.5,1.62,0.0,2013-01-08 00:00:00,3,2011-01-04 00:00:00,2013
SUPPLIER A56,S019,A345,1.61,1.3,0.05,2013-12-20 00:00:00,4,2013-09-13 00:00:00,2013
SUPPLIER A52,S064,A400,1.42,1.2,0.06,2012-06-03 00:00:00,4,2012-02-06 00:00:00,2013
SUPPLIER A60,S086,A370,1.83,1.31,0.03,2012-12-28 00:00:00,4,2011-10-12 00:00:00,2013
SUPPLIER A30,S075,A381,1.55,1.2,0.07,2013-05-08 00:00:00,4,2012-11-20 00:00:00,2015
SUPPLIER AD,S016,A372,1.47,1.27,0.04,2012-10-30 00:00:00,2,2012-11-19 00:00:00,2013
SUPPLIER C,S056,A330,1.56,1.2,0.02,2012-09-07 00:00:00,4,2012-09-02 00:00:00,2011
SUPPLIER A43,S022,A409,1.73,1.2,0.06,2012-05-15 00:00:00,2,2014-01-17 00:00:00,2013
SUPPLIER A6,S040,A367,1.57,1.2,0.06,2012-08-14 00:00:00,4,2013-05-29 00:00:00,2011
SUPPLIER A67,S032,A320,1.67,1.2,0.04,2013-03-01 00:00:00,4,2013-06-01 00:00:00,2012
SUPPLIER A17,S076,A383,1.43,1.28,0.06,2012-07-30 00:00:00,3,2013-07-16 00:00:00,2011
SUPPLIER A50,S092,A330,1.51,1.2,0.2,2012-08-31 00:00:00,2,2012-11-20 00:00:00,2013
SUPPLIER A36,S008,A354,2.38,1.2,0.2,2013-01-16 00:00:00,3,2013-07-25 00:00:00,2013
SUPPLIER A73,S001,A101,1.57,1.32,0.05,2013-04-08 00:00:00,3,2013-07-14 00:00:00,2013
SUPPLIER AD,S003,A368,1.95,1.67,0.05,2013-01-15 00:00:00,4,2012-12-24 00:00:00,2013
TOP DIE CASTING,S035,A377,1.51,1.2,0.06,2012-06-05 00:00:00,4,2011-11-21 00:00:00,2012
SUPPLIER A48,S014,A371,2.24,1.2,0.2,2012-08-30 00:00:00,2,2013-11-05 00:00:00,2012
SUPPLIER A33,S075,A370,1.71,1.2,0.06,2013-03-10 00:00:00,3,2012-08-13 00:00:00,2013
SUPPLIER A5,S013,A363,1.63,1.62,0.07,2012-08-11 00:00:00,3,2012-06-15 00:00:00,2012
SUPPLIER A53,S015,A409,1.44,1.2,0.2,2012-10-08 00:00:00,4,2014-02-13 00:00:00,2013
ABC Supplier,S021,A373,1.67,1.25,0.06,2012-10-28 00:00:00,4,2013-03-26 00:00:00,2013
SUPPLIER A37,S072,A412,1.45,1.49,0.03,2012-07-21 00:00:00,4,2017-03-26 00:00:00,2013
SUPPLIER A70,S032,A400,1.62,1.57,0.07,2011-12-06 00:00:00,2,2012-06-20 00:00:00,2013
SUPPLIER A59,S032,A340,1.28,1.2,-0.0,2012-10-25 00:00:00,2,2013-06-17 00:00:00,2013
TOP DIE CASTING,S080,A391,1.67,1.38,0.08,2012-08-02 00:00:00,4,2011-06-20 00:00:00,2013
SUPPLIER A61,S012,A377,1.65,1.2,0.07,2013-03-17 00:00:00,3,2012-12-21 00:00:00,2013
SUPPLIER A50,S020,A404,2.13,1.2,0.04,2013-05-28 00:00:00,4,2013-07-13 00:00:00,2013
SUPPLIER A73,S061,A369,1.52,1.24,0.04,2012-05-16 00:00:00,3,2011-03-12 00:00:00,2013
SUPPLIER AC,S023,A360,1.68,1.52,0.2,2013-03-11 00:00:00,4,2013-05-07 00:00:00,2013
SUPPLIER A70,S045,A394,1.6,1.47,-0.01,2012-04-21 00:00:00,3,2013-04-24 00:00:00,2013
SUPPLIER A22,S066,A397,1.77,1.87,0.05,2012-08-13 00:00:00,4,2012-11-13 00:00:00,2013
SUPPLIER A18,S063,A402,2.12,1.48,0.2,2012-09-07 00:00:00,3,2013-04-24 00:00:00,2016
SUPPLIER A4,S032,A393,1.88,1.41,0.06,2012-12-28 00:00:00,3,2012-06-14 00:00:00,2012
SUPPLIER A62,S050,A101,1.57,1.49,0.03,2012-11-20 00:00:00,1,2013-03-08 00:00:00,2013
SUPPLIER A18,S032,A380,1.64,1.2,0.06,2013-01-07 00:00:00,1,2013-11-30 00:00:00,2015
SUPPLIER A67,S027,A346,1.69,1.2,0.07,2013-05-05 00:00:00,4,2014-02-01 00:00:00,2011
SUPPLIER A23,S064,A354,1.59,1.37,0.2,2013-01-14 00:00:00,2,2013-06-14 00:00:00,2013
SUPPLIER A36,S077,A349,1.68,1.2,0.05,2013-02-19 00:00:00,4,2013-07-17 00:00:00,2011
BLUE METAL,S022,A394,1.75,1.38,0.15,2013-02-20 00:00:00,2,2015-06-03 00:00:00,2013
SUPPLIER A50,S059,A360,1.33,1.46,0.19,2013-02-28 00:00:00,1,2013-05-17 00:00:00,2013
SUPPLIER A30,S083,A407,2.67,1.47,0.05,2012-12-31 00:00:00,3,2013-03-16 00:00:00,2013
SUPPLIER A59,S001,A369,1.57,1.2,0.06,2012-07-31 00:00:00,4,2013-07-17 00:00:00,2012
SUPPLIER A5,S002,A352,1.63,1.3,0.08,2013-04-16 00:00:00,1,2013-01-16 00:00:00,2013
TOP DIE CASTING,S079,A401,1.68,1.21,0.03,2013-08-14 00:00:00,2,2012-06-19 00:00:00,2013
SUPPLIER H,S054,A341,1.98,1.2,0.02,2012-04-18 00:00:00,2,2013-06-14 00:00:00,2013
ABC Supplier,S008,A404,1.65,1.2,0.01,2013-05-04 00:00:00,4,2013-06-02 00:00:00,2013
