Supplier_Name,Supplier_Code,Alloy,Current_LB,New_LB,change,Requested_Date,Period,Effective_Date,Year
SUPPLIER D,S071,A348,1.48,1.26,-0.01,2013-10-11 00:00:00,2,2013-02-23 00:00:00,2013
SUPPLIER F,S078,A415,1.41,1.45,0.01,2013-10-21 00:00:00,3,2013-09-22 00:00:00,2013
SUPPLIER A2,S015,A345,1.42,1.78,0.01,2014-02-05 00:00:00,2,2013-04-05 00:00:00,2016
SUPPLIER A72,S093,A400,1.38,1.45,-0.01,2013-06-19 00:00:00,2,2013-07-19 00:00:00,2013
SUPPLIER A6,S069,A376,1.33,1.25,-0.01,2014-02-13 00:00:00,2,2013-03-25 00:00:00,2013
SUPPLIER A53,S002,A385,1.23,1.92,0.03,2013-12-16 00:00:00,4,2013-07-28 00:00:00,2013
SUPPLIER A55,S051,A410,1.48,1.38,-0.02,2013-11-10 00:00:00,3,2013-02-11 00:00:00,2013
SUPPLIER A1,S018,A400,1.73,1.34,0.01,2013-05-17 00:00:00,2,2012-12-06 00:00:00,2013
SUPPLIER A29,S023,A410,1.3,1.29,-0.03,2013-06-30 00:00:00,3,2010-12-09 00:00:00,2013
SUPPLIER A53,S093,A320,1.42,2.19,0.05,2013-05-11 00:00:00,3,2011-12-13 00:00:00,2013
SUPPLIER A63,S001,A375,1.67,1.38,-0.02,2013-09-19 00:00:00,3,2013-09-25 00:00:00,2013
SUPPLIER A26,S088,A380,2.04,1.99,-0.03,2013-01-29 00:00:00,2,2013-04-26 00:00:00,2015
SUPPLIER A60,S027,A372,1.29,1.8,-0.01,2013-08-27 00:00:00,4,2012-12-28 00:00:00,2013
SUPPLIER E,S013,A352,1.81,1.74,-0.02,2013-02-05 00:00:00,1,2011-01-16 00:00:00,2013
SUPPLIER A70,S055,A364,1.71,1.36,-0.02,2014-03-23 00:00:00,4,2013-09-22 00:00:00,2013
SUPPLIER A17,S032,A344,1.51,1.24,-0.03,2013-11-26 00:00:00,2,2013-03-18 00:00:00,2013
SUPPLIER A58,S059,A385,1.44,1.34,-0.03,2013-12-28 00:00:00,4,2013-05-22 00:00:00,2013
SUPPLIER G,S076,A372,1.53,1.66,0.0,2013-03-07 00:00:00,4,2013-08-28 00:00:00,2014
SUPPLIER A64,S001,A366,1.56,1.56,-0.03,2013-07-12 00:00:00,4,2014-01-31 00:00:00,2013
ABC Supplier,S072,A379,1.89,1.84,0.02,2013-06-08 00:00:00,3,2013-03-12 00:00:00,2013
ABC Supplier,S068,A396,1.58,1.59,0.2,2013-12-11 00:00:00,1,2012-12-05 00:00:00,2011
SUPPLIER A48,S014,A365,1.38,1.25,-0.03,2013-03-17 00:00:00,2,2012-05-20 00:00:00,2013
SUPPLIER A15,S044,A394,2.11,1.68,-0.02,2013-10-19 00:00:00,1,2013-07-28 00:00:00,2013
ABC Supplier,S015,A342,2.14,1.36,0.02,2014-02-21 00:00:00,3,2013-02-15 00:00:00,2011
SUPPLIER A65,S027,A388,1.8,1.93,0.01,2014-01-10 00:00:00,3,2012-02-09 00:00:00,2013
SUPPLIER A29,S024,A368,1.45,1.4,-0.03,2013-07-02 00:00:00,2,2012-09-28 00:00:00,2013
SUPPLIER A28,S025,A101,1.47,1.9,0.0,2013-09-02 00:00:00,3,2013-12-01 00:00:00,2015
TOP DIE CASTING,S037,A359,1.3,1.81,0.01,2013-08-28 00:00:00,1,2012-05-27 00:00:00,2013
SUPPLIER A66,S077,A360,1.24,1.42,0.04,2013-09-18 00:00:00,4,2012-07-23 00:00:00,2014
SUPPLIER A19,S076,A359,1.49,1.74,0.01,2013-01-07 00:00:00,3,2013-09-25 00:00:00,2011
SUPPLIER A24,S044,A392,1.32,1.45,-0.0,2013-02-25 00:00:00,3,2013-01-11 00:00:00,2011
